NAMESHORT_SB;NAME_SB
LAMM-B.ST;LAMMHULTS DESIGN GROUP B
LATO-B.ST;LATOUR INVESTMENT B
LAUR.ST;LAURITZ.COM
LEO.ST;LEOVEGAS
LEX.ST;LEXINGTON COMPANY
LIAB.ST;LINDAB INTERNATIONAL
LIDDS.ST;LIDDS
LIFCO-B.ST;LIFCO B
LIFE B;LIFEASSAYS B
LLSW-B.ST;LIGHTLAB SWE B
LOOM-B.ST;LOOMIS B
LUC.ST;LUCARA DIAMOND
LUG.ST;LUNDIN GOLD
LUMI.ST;LUNDIN MINING
LUND-B.ST;LUNDBERGFORETAGEN B
LUPE.ST;LUNDIN PETROLEUM
MACK-B.ST;MACKMYRA SVENSK WHISKEY B
MAG.ST;MAGNOLIA BOSTAD
MAHA-A.ST;MAHA ENERGY
MAHA-A-TO-1.ST;MAHA ENERGY SUBSCR OPT
MANTEX.ST;MANTEX
MATRA.ST;MATRA PETROLEUM
MAV.ST;MAVSHACK AB
MAXF.ST;MAXFASTIGHETER I SVERIGE
MAXK.ST;MAXKOMPETENS
MCAP.ST;MEDCAP
MCNH.NGM;MEDICA CLINICAL NORTH
MCOV-B.ST;MEDICOVER
MEAB-B.ST;MALMBERGS ELEKTRISKA B
MEDR-B.ST;MEDIRATT B
MEKO.ST;MEKONOMEN
MELK.ST;MELKER SCHORLING
MERT-A.NGM;MERTIVA
MIC-SDB.ST;MILLICOM INTERNATIONAL CELLULAR SDR
MIDW-B.ST;MIDWAY HOLDING B
MIND.ST;MINDMANCER
MINEST.ST;MINESTO
MIPS.ST;MIPS
MOB.ST;MOBERG PHARMA
MOMENT.ST;MOMENT GROUP
MPI.ST;MEDICAL PROGNOSIS INSTITUTE
MQ.ST;MQ HOLDING
MRG.ST;MR GREEN
MSAB-B.ST;MICRO SYSTEMATION B
MSC-B.ST;MSC GROUP
MSON-A.ST;MIDSONA A
MSON-B.ST;MIDSONA B
MTG-A.ST;MTG A
MTG-B.ST;MODERN TIMES GROUP MTG B
MTRS.ST;MUNTERS GROUP
MULQ.ST;MULTIQ INTERNATIONAL
MULT.NGM;MULTIDOCKER CARGO HANDLING
MVIR-B.ST;MEDIVIR B
MYFC.ST;MYFC HOLDING
NAXS.ST;NAXS
NCC-A.ST;NCC A
NCC-B.ST;NCC B
NDA-SEK.ST;NORDEA BANK
NDX.ST;NORDAX GROUP
NEPA.ST;NEPA
NET-B.ST;NETENT
NETI-B.ST;NET INSIGHT B
NEWA-B.ST;NEW WAVE GROUP B
NEXAM.ST;NEXAM CHEMICAL HOLDING
NGQ.ST;NGEX RESOURCES
NGS.ST;NGS GROUP
NHCBHFFS.ST;NORTHERN HORIZON CAPITAL ETF
NIBE-B.ST;NIBE INDUSTRIER B
NICKE.NGM;NICKEL MOUNTAIN RESOURCES
NICO.ST;NICOCCINO HOLD
NIL-B.ST;NILORNGRUPPEN
NMAN.ST;NEDERMAN HOLDING
NOBI.ST;NOBIA
NOBINA.ST;NOBINA
NOKIA-SEK.ST;NOKIA
NOLA-B.ST;NOLATO B
NOMI.ST;NORDIC MINES
NOTE.ST;NOTE
NP3.ST;NP3 FASTIGHETER
NTEK-B.ST;NOVOTEK B
NTGRP.NGM;NET TRADING GROUP NTG
NUE.ST;NUEVOLUTION
NVP.ST;NEUROVIVE PHARMACEUTICAL
NWG.ST;NORDIC WATERPROOFING HOLDING
NXTMS.ST;NEXSTIM
OASM.ST;OASMIA PHARMACEUTICAL
OBAB.ST;ONLINE BRANDS NORDIC
OBDU-B.NGM;OBDUCAT B
OBDU-PREF-B.NGM;OBDUCAT PRF
ODD.ST;ODD MOLLY INTERNATIONAL
OEM-B.ST;OEM INTERNATIONAL B
OLDM.ST;OLD MUTUAL
ONCO.ST;ONCOPEPTIDES
OP.ST;OSCAR PROPERTIES
OP-PREF.ST;OSCAR PROPERTIES PRF
OP-PREFB.ST;OSCAR PROPERTIES HOLDING PRF
OPUS.ST;OPUS GROUP
ORES.ST;INVESTMENT OERESUND
ORGC.ST;ORGANOCLICK
ORIF.ST;ORIFLAME HOLDING
ORTI-A.ST;ORTIVUS A
ORTI-B.ST;ORTIVUS B
ORX.ST;OREXO
PACT.ST;PROACT IT GROUP
PALS-B.ST;PALLAS GROUP
PCAT.ST;PHOTOCAT
PCELL.ST;POWERCELL SWEDEN
PDX.ST;PARADOX INTERACTIVE
PEAB-B.ST;PEAB B
PEGRO-PREF.ST;PEGROCO INVEST PRF
PFE.ST;PFIZER
PIEZO.ST;PIEZOMOTOR UPPSALA
PLAZ-B.ST;PLATZER FASTIGHETER
PLED.ST;PLED PHARMA
PNDX-B.ST;PANDOX
PNVA.NGM;PAYNOVA
POLY.ST;POLYPLANK
POLYG.ST;POLYGIENE
POOL-B.ST;POOLIA B
PRCO-B.ST;PRECIO FISHBONE B
PREC.ST;PRECISE BIOMETRICS
PREV-B.ST;PREVAS B
PRIC-B.ST;PRICER B
PRIME.ST;PRIME LIVING
PRLD.NGM;PROLIGHT DIAGNOSTICS
PROB.ST;PROBI AB
PROF-B.ST;PROFILGRUPPEN B
PXXS-SDB.ST;PEARL EXPLORATION AND PROD GDR
QLRO.ST;QLIRO GROUP
QUART-PREF.ST;QUARTIERS PROPERTIES PRF
RATO-A.ST;RATOS A
RATO-B.ST;RATOS B
RAY-B.ST;RAYSEARCH LABORATORIES B
RECI-B.ST;RECIPHARM AB
REJL-B.ST;REJLERS B
RENT.NGM;RENTUNDER HOLDING
RESURS.ST;RESURS HOLDING
REZT.ST;REZIDOR HOTEL GROUP
RISEN.NGM;RIPASSO ENERGY
RLS.ST;RUBICON LIFE SCIENCE
RNBS.ST;RETAIL AND BRANDS
RROS.ST;ROTTNEROS
RTC.ST;RETHINKING CARE SWEDEN
SAAB-B.ST;SAAB B
SAGA-A.ST;SAGAX
SAGA-B.ST;SAGAX B
SAGA-D.ST;SAGAX LINE D
SAGA-PREF.ST;SAGAX PRF
SALT-B.ST;SALTX TECHNOLOGY HOLDING
SALT-TO-2B.ST;SALTX TECHNOLOGY HOLDING SUBSCR OPT
SAND.ST;SANDVIK
SANION.ST;SANIONA A/S
SAPIAB.ST;SALTANGEN
SARSYS.NGM;SCANDINAVIAN AIRPORT AND ROAD SYSTEM
SAS.ST;SAS
SAS-PREF.ST;SAS PRF
SAVOS.ST;SAVO SOLAR
SAXG.ST;SAXLUND GROUP
SBB-B.ST;SAMHALLSBYGGNADSBOLAGET I NORDEN
SCA-A.ST;SVENSKA CELLULOSA A
SCA-B.ST;SVENSKA CELLULOSA B
SCST.ST;SCANDI STANDARD
SDIP-B.ST;SDIPTECH
SDIP-PREF.ST;SDIPTECH PRF
SDOS.ST;SCANDIDOS
SEAM.ST;SEAMLESS DISTRIBUTION B
SEB-A.ST;SE BANKEN A
SEB-C.ST;SE BANKEN C
SECARE.ST;SWEDENCARE
SECI.ST;SECITS HOLDING
SECT-B.ST;SECTRA B
SECU-B.ST;SECURITAS B
SEMC.ST;SEMCON
SENS.ST;SENSYS GATSO
SERT.ST;SERSTECH
SES.ST;SCAND ENVIRO SYS
SEYE.ST;SMART EYE
SEZI.ST;SENZIME
SF.ST;STILLFRONT GROUP
SHB-A.ST;SVENSKA HANDELSBANKEN A
SHB-B.ST;HANDELSBANKEN B
SHOT.ST;SCANDIC HOTELS GROUP
SIMRIS-B.ST;SIMRIS ALG
SINT.ST;SINTERCAST
SJR-B.ST;SJR B
SKA-B.ST;SKANSKA B
SKF-A.ST;SKF A
SKF-B.ST;SKF B
SKIS-B.ST;SKISTAR B
SMF.ST;SEMAFO
SNM.ST;SHAMARAN PETROLEUM
SOBI.ST;SWEDISH ORPHAN BIOVITRUM
SOF-B.ST;SOFTRONIC B
SOLT.ST;SOLTECH ENERGY
SONE.ST;SONETEL
SOSIL.NGM;SOTKAMO SILVER
SPIFFX.ST;SPIFFX
SPOR.ST;SPORTAMORE
SPRINT.ST;SPRINT BIOSCIENCE
SRNKE-B.ST;SERNEKE GROUP
SSAB-A.ST;SSAB A
SSAB-B.ST;SSAB B
SSM.ST;SSM HOLDING
STAR-A.ST;STARBREEZE A
STAR-B.ST;STARBREEZE B
STE-A.ST;STORA ENSO A
STEF-B.ST;STENDORREN FASTIGHETER
STE-R.ST;STORA ENSO R
STIL.ST;STILLE
STRAX.ST;STRAX
STW.ST;SEATWIRL
SUSW.ST;SURGICAL SCIENCE SWEDEN
SVED-B.ST;SVEDBERGS I DALSTORP B
SVIK.ST;STUDSVIK
SVOL-A.ST;SVOLDER A
SVOL-B.ST;SVOLDER B
SWEC-A.ST;SWECO A
SWEC-B.ST;SWECO B
SWED-A.ST;SWEDBANK A
SWMA.ST;SWEDISH MATCH
SWOL-B.ST;SWEDOL B
SYSR.ST;SYSTEMAIR
TALK.ST;TALKPOOL
TANGI.ST;TANGIAMO TOUCH TECHNOLOGY
TASTE.ST;MYTASTE
TCC.ST;TC CONNECT
TCT.ST;TCT TECH SWEDEN
TEL2-A.ST;TELE2 A
TEL2-B.ST;TELE2 B
TEONE.ST;TARGETEVERYONE
TERRNT-B.ST;TERRANET HOLDING
TETY.ST;TETHYS OIL
TFBANK.ST;TF BANK
TGATE.NGM;THREE GATES
THQN-B.ST;THQ NORDIC
THULE.ST;THULE GROUP
TIEN.ST;TIETO
TLSN.ST;TELIA COMPANY
TMG.ST;THE MARKETING GROUP
TOBII.ST;TOBII
TOBIN.ST;TOBIN PROPERTIES
TOBIN-PREF.ST;TOBIN PROPERTIES PRF
TRAC-B.ST;TRACTION B
TRANS.ST;TRANSTEMA
TREL-B.ST;TRELLEBORG B
TRENT.ST;TRENTION
TROAX.ST;TROAX GROUP
UFLX-B.ST;UNIFLEX B
ULED.NGM;UNI-LIGHT LED
UNIBAP.ST;UNIBAP
UTG.ST;UNLIMITED TRAVEL GROUP
VBG-B.ST;VBG B
VEMF-SDB.ST;VOSTOK EMERGING FINANCE SDR
VERI.ST;VERISEC
VICO.ST;VICORE PHARMA HOLDING
VICP.ST;VICTORIA PARK
VICP-B.ST;VICTORIA PARK B
VICP-PREF.ST;VICTORIA PARK PRF
VIT-B.ST;VITEC SOFTWARE GROUP B
VITR.ST;VITROLIFE
VNV-SDB.ST;VOSTOK NEW VENTURES SDR
VOLO.ST;VOLATI
VOLO-PREF.ST;VOLATI PRF
VOLV-A.ST;VOLVO A
VOLV-B.ST;VOLVO B
VRG-B.ST;VENUE B
VSSAB-B.ST;VIKING SUPPLY SHIPS
WALL-B.ST;WALLENSTAM B
WESC.ST;WESC
WIHL.ST;WIHLBORGS FASTIGHETER
WINT.ST;WEST INTERNATIONAL
WISE.ST;WISE GROUP
WTX.ST;WILSON THERAPEUTICS SHS
XACT.ST;XACT OMX30 ETF
XACT-BEAR.ST;XACT BEAR ETF
XACT-BEAR-2.ST;XACT BEAR2 ETF
XACT-BULL.ST;XACT BULL ETF
XACT-BULL-2.ST;XACT BULL2 ETF
XACTHDIV.ST;XACTHDIV ETF
XACT-NORDEN-30.ST;XACT NORDEN 30 ETF
XACT-OMXSB-UTD.ST;XACT OMXSB Utd ETF
XACT-SMABOLAG.ST;XACT SVENSKA SMABOLAG UCITS ETF
XANO-B.ST;XANO INDUSTRI B
XBRANE.ST;XBRANE BIOPHARMA
XESC.ST;DBX ES50 DR 1C ETF
XINT.ST;XINTELA
XMEM.ST;DB X-TRACKERS MSCI EM ETF
XMR.ST;XMREALITY
XMWO.ST;DBX MSCI WORLD ETF
XSPX.ST;DB X-TRACKERS S&P 500 ETF
XVIVO.ST;XVIVO PERFUS
ZAPLOX.ST;ZAPLOX
ZETA.ST;ZETA DISPLAY
ZETA-PREF.ST;ZETADISPLAY PRF
ZZ-B.ST;ZINZINO AB
