NAMESHORT_SB;NAME_SB;URL_SB;NAME_NORDNET;NAMESHORT_NORDNET;URL_NN;MARKET_ID;IDENTIFIER_ID;COMPLIMENTARY_LIST;PRICE;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PERCENT_CHANGE;BUY_AVERAGE_SUCCESS_PERCENT_CHANGE;BUY_MEDIAN_FAILED_PERCENT_CHANGE;BUY_MEDIAN_SUCCESS_PERCENT_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;MEDIAN_SELL_INTRADAY-CLOSING-CHANGE_PERCENT;AVERAGE_SELL_INTRADAY-CLOSING-CHANGE_PERCENT;MEDIAN_BUY_INTRADAY-CLOSING-CHANGE_PERCENT;AVERAGE_BUY_INTRADAY-CLOSING-CHANGE_PERCENT;SUM_BUYANDFAIL_MEDIAN_KEYVALUE_AND_MEDIAN_SELL_INTRADAY-CLOSING-CHANGE_PERCENT;SUM_BUYANDFAIL_AVERAGE_KEYVALUE_AND_AVERAGE_SELL_INTRADAY-CLOSING-CHANGE_PERCENT;HIGHEST_THROUGH_CURRENT_PERCENT_CHANGE;GROUP_BUY
G5EN.ST;G5 ENTERTAINMENT;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=G5EN.ST;G5 Entertainment AB;G5EN;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=60158&marketid=11;11;60158;;346.0;37.0;83.8;7.5;5.39;-3.54;10.81;-3.32;7.14;5.28;8.32;-1.65;-1.79;2.2;2.8;3.63;6.53;1.23;GROUP 1_mediumRisk
BOUL.ST;BOULE DIAGNOSTICS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOUL.ST;Boule Diagnostics AB;BOUL;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82889&marketid=11;11;82889;;286.0;36.0;72.2;5.85;2.71;-1.43;10.56;-1.54;5.77;3.63;7.12;-1.62;-1.73;1.2;2.13;2.01;5.39;1.3;GROUP 1_mediumRisk
BIOT.ST;BIOTAGE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOT.ST;Biotage AB;BIOT;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5209&marketid=11;11;5209;;88.1;35.0;69.4;4.26;2.18;-1.8;7.87;-1.96;6.79;4.02;4.81;-1.3;-1.43;1.46;1.86;2.72;3.38;1.3;GROUP 1_mediumRisk
CINN.ST;CINNO FIN TECH;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CINN.ST;Cinnober Financial Technology AB;CINN;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=102935&marketid=11;11;102935;;72.9;35.0;65.7;4.45;2.74;-1.57;6.02;-1.07;5.8;3.37;3.34;-1.05;-1.23;1.36;1.54;2.32;2.11;1.56;GROUP 1_mediumRisk
CRAD-B.ST;C-RAD B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRAD-B.ST;C-RAD AB ser. B;CRAD B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=74313&marketid=11;11;74313;;31.75;33.0;68.8;6.19;2.7;-1.83;10.98;-1.38;7.6;4.7;6.89;-0.95;-1.21;1.2;2.21;3.75;5.68;1.11;GROUP 1_mediumRisk
HTRO.ST;HEXATRONIC GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HTRO.ST;Hexatronic Group AB;HTRO;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82816&marketid=11;11;82816;;62.7;33.0;75.8;5.51;2.94;-2.5;8.89;-2.48;6.57;4.25;6.0;-0.93;-1.14;1.65;2.0;3.32;4.86;1.49;GROUP 1_mediumRisk
CTT.ST;CTT SYSTEMS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CTT.ST;CTT Systems AB;CTT;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3081&marketid=11;11;3081;;180.2;33.0;71.9;4.66;2.44;-0.84;8.25;-0.56;4.79;3.18;5.59;-0.9;-1.17;0.94;1.27;2.28;4.42;1.0;GROUP 1_mediumRisk
TRANS.ST;TRANSTEMA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TRANS.ST;Transtema Group AB;TRANS;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=109528&marketid=11;11;109528;;29.5;32.0;65.6;9.03;5.14;-3.29;13.18;-2.89;8.97;4.81;7.44;-1.98;-2.5;2.08;2.99;2.83;4.94;2.78;GROUP 1_mediumRisk
PROB.ST;PROBI AB;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PROB.ST;Probi AB;PROB;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=27701&marketid=11;11;27701;;478.2;32.0;65.6;6.95;3.56;-4.9;12.65;-2.42;7.04;3.71;6.53;-1.34;-1.9;1.32;2.47;2.37;4.63;1.39;GROUP 1_mediumRisk
RAY-B.ST;RAYSEARCH LABORATORIES B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RAY-B.ST;RaySearch Laboratories AB ser. B;RAY B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1063&marketid=11;11;1063;;123.7;32.0;65.6;5.84;3.15;-0.94;8.61;-0.45;5.54;3.4;5.25;-1.06;-2.02;1.37;1.49;2.34;3.23;2.06;GROUP 1_mediumRisk
ACTI.ST;ACTIVE BIOTECH;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACTI.ST;Active Biotech AB;ACTI;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=877&marketid=11;11;877;;3.205;31.0;77.4;11.06;4.2;-8.84;15.21;-3.57;7.63;4.96;9.64;-1.12;-2.78;1.58;3.71;3.84;6.86;5.55;GROUP 2_highRisk
BEGR.ST;BE GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEGR.ST;BE Group AB;BEGR;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=37309&marketid=11;11;37309;;45.6;31.0;66.7;4.97;2.62;-1.42;7.86;-1.28;6.19;3.62;4.69;-0.74;-1.06;0.69;1.3;2.88;3.63;1.49;GROUP 1_mediumRisk
NXTMS.ST;NEXSTIM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NXTMS.ST;Nexstim Oyj;NXTMS;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=103571&marketid=11;11;103571;;2.25;28.0;67.9;11.27;8.3;-4.84;14.09;-3.25;8.74;4.8;7.92;-1.3;-2.47;2.67;5.34;3.5;5.45;4.75;GROUP 1_mediumRisk
STIL.ST;STILLE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STIL.ST;Stille AB;STIL;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=32001&marketid=11;11;32001;;61.6;28.0;66.7;5.39;2.83;-2.58;9.19;-2.35;5.82;3.02;5.19;-1.4;-1.45;1.46;2.08;1.62;3.74;1.12;GROUP 1_mediumRisk
STAR-A.ST;STARBREEZE A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STAR-A.ST;Starbreeze AB ser. A;STAR A;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110197&marketid=11;11;110197;;9.24;27.0;74.1;7.57;4.36;-2.45;8.92;-1.27;4.84;3.14;5.85;-1.02;-1.91;1.46;2.05;2.12;3.94;2.87;GROUP 1_mediumRisk
SAVOS.ST;SAVO SOLAR;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAVOS.ST;Savosolar Plc;SAVOS;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=108026&marketid=11;11;108026;;0.588;30.0;60.0;12.91;4.38;-3.3;20.22;-3.23;4.53;1.38;10.76;-1.42;-2.45;2.33;5.34;-0.04;8.31;5.57;GROUP 2_highRisk
SES.ST;SCAND ENVIRO SYS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SES.ST;Scandinavian Enviro Systems AB;SES;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101603&marketid=11;11;101603;;0.818;33.0;48.5;10.92;4.27;-2.59;24.51;-1.93;12.5;5.08;10.56;-1.19;-2.88;1.32;4.36;3.89;7.68;5.45;GROUP 2_highRisk
MYFC.ST;MYFC HOLDING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MYFC.ST;myFC Holding AB;MYFC;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101187&marketid=11;11;101187;;5.43;31.0;74.2;12.46;4.85;-8.29;15.87;-2.63;4.11;2.25;9.52;-2.66;-3.35;2.46;4.32;-0.41;6.17;4.92;GROUP 2_highRisk
DIVI-B.NGM;DIVIDEND SWEDEN;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIVI-B.NGM;Dividend Sweden B;DIVI MTF B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=33RG&marketid=13;13;33RG;YES;0.355;29.0;69.0;10.45;5.37;-4.48;15.73;-4.5;4.78;1.81;9.37;-1.79;-2.53;3.53;5.98;0.02;6.84;4.35;GROUP 2_highRisk
