NAMESHORT_SB;NAME_SB;MONTH_6_PERCENT;MONTH_6_VALUE;MONTH_12_PERCENT;MONTH_12_VALUE;MONTH_24_PERCENT;MONTH_24_VALUE;AVERAGE_PERCENT;AVERAGE_VALUE;URL_SB
43464.ST;STOCKWIK FORVALTNING;53.8;237;47.6;174;32.7;33;44.7;148;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43464.ST
43720.ST;MYCRONIC;69.2;146;57.6;119;65.6;265;64.1;176;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43720.ST
43825.ST;I.A.R SYSTEMS GROUP;66.7;123;68.0;132;64.9;199;66.5;151;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43825.ST
47307.ST;NORDIC LEISURE;73.3;183;57.6;435;54.0;757;61.6;458;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=47307.ST
66669.ST;ALLTELE;;;;;;;;;
A1M.ST;A1M;58.3;157;60.0;308;61.0;641;59.8;368;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=A1M.ST
A1M-TO.ST;A1M PHARMA SUBSCR OPT;;;;;;;;;
AAC.ST;AAC MICROTEC;73.3;233;58.1;434;58.1;434;63.2;367;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAC.ST
AAC-TO1.ST;AAC MICROTEC SUBSCR OPT;87.5;637;69.2;900;69.2;900;75.3;812;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAC-TO1.ST
AAK.ST;AARHUSKARLSHAMN;56.5;122;55.8;126;58.7;156;57.0;134;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAK.ST
AAP-B.ST;ARC AROMA;61.1;142;62.5;311;57.6;1091;60.4;514;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAP-B.ST
ABB.ST;ABB LTD N;57.1;108;60.0;134;57.4;181;58.2;141;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABB.ST
ABIGR.NGM;ABELCO INVESTMENT GROUP;78.6;256;75.0;264;75.0;264;76.2;261;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABIGR.NGM
ACAD.ST;ACADEMEDIA;50.0;120;58.8;142;64.6;192;57.8;151;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAD.ST
ACAN-B.ST;ACANDO;58.8;113;64.9;139;61.9;258;61.9;170;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAN-B.ST
ACARIX.ST;ACARIX;61.5;109;54.5;88;54.5;88;56.8;95;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACARIX.ST
ACM.ST;A CITY MEDIA;62.5;157;50.0;151;48.4;340;53.6;216;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACM.ST
ACTI.ST;ACTIVE BIOTECH;66.7;228;79.3;322;70.5;962;72.2;504;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACTI.ST
ADDERA.ST;ADDERACARE;72.2;117;74.2;155;71.9;147;72.8;139;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDERA.ST
ADDT-B.ST;ADDTECH B;65.0;125;65.8;143;64.3;253;65.0;173;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDT-B.ST
ADDV-B.ST;ADDVISE GROUP;35.3;84;33.3;85;46.8;82;38.5;83;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDV-B.ST
ADVE.ST;ADVENICA;55.0;125;56.4;154;58.6;248;56.7;175;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADVE.ST
AERO.ST;SVENSKA AEROGEL HOLDING;54.2;145;52.4;120;54.5;134;53.7;133;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AERO.ST
AF-B.ST;AF B;73.9;110;58.1;107;58.2;158;63.4;125;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AF-B.ST
AGES-B.ST;AGES INDUSTRI;100.0;101;85.0;142;63.6;148;82.9;130;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGES-B.ST
AGORA-PREF.ST;AGORA PREF PRF;77.8;106;58.8;105;58.8;105;65.1;105;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGORA-PREF.ST
AGRO.ST;AGROMINO;50.0;98;50.0;123;54.1;234;51.4;151;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGRO.ST
AHSL.ST;AHLSELL;52.2;98;56.8;97;58.0;102;55.7;99;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AHSL.ST
AIK-B.NGM;AIK FOTBALL B;23.5;95;42.4;98;40.3;122;35.4;105;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AIK-B.NGM
AINO.ST;AINO HEALTH;53.3;187;47.1;201;45.7;198;48.7;195;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AINO.ST
AKEL-PREF.ST;AKELIUS RESIDENTIAL PREF PRF;63.2;102;41.0;99;43.3;109;49.2;103;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AKEL-PREF.ST
ALCA.ST;ALCADON GROUP;85.7;112;59.3;127;58.5;148;67.8;129;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALCA.ST
ALELIO.ST;ALELION ENERGY SYSTEMS;83.3;160;58.8;162;56.5;127;66.2;149;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALELIO.ST
ALELIO-TO-1.ST;ALELION ENERGY SYSTEMS SUBSCR OPT;;;;;;;;;
ALFA.ST;ALFA LAVAL;62.5;109;46.9;111;51.4;144;53.6;121;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALFA.ST
ALIF-B.ST;ADDLIFE;50.0;86;57.5;87;58.1;148;55.2;107;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIF-B.ST
ALIG.ST;ALIMAK GROUP;63.2;105;65.6;129;64.1;225;64.3;153;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIG.ST
ALIRA-B.ST;ALIGERA;50.0;479;58.3;861;58.3;861;55.5;733;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIRA-B.ST
ALIV-SDB.ST;AUTOLIV SDR;69.6;144;68.6;163;63.6;230;67.3;179;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIV-SDB.ST
ALLG-B.ST;ALLGON B;70.0;110;59.1;119;51.0;213;60.0;147;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALLG-B.ST
ALM-PREF.ST;ALM PRF;55.6;99;52.4;102;38.8;96;48.9;99;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALM-PREF.ST
ALON-B.NGM;ARCHELON;75.0;117;72.7;129;62.7;173;70.1;139;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALON-B.NGM
AM1S.ST;AHLSTROM-MUNKSJO;33.3;90;38.3;101;50.6;194;40.7;128;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AM1S.ST
AMAST.ST;AMSTEN HOLDING B;57.1;115;46.7;112;48.4;168;50.7;131;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AMAST.ST
AMAST-PREF.ST;AMASTEN HOLDING PREF SHS;47.8;91;48.7;93;46.4;106;47.6;96;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AMAST-PREF.ST
AMBEA.ST;AMBEA;60.0;106;63.3;110;63.3;110;62.2;108;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AMBEA.ST
ANNX.ST;ANNEXIN PHARMACEUTICALS;68.8;176;66.7;220;66.7;220;67.4;205;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANNX.ST
ANOD-B.ST;ADDNODE GROUP;46.7;105;51.5;129;55.7;188;51.3;140;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANOD-B.ST
ANOT.ST;ANOTO GROUP;72.2;324;71.0;1331;69.7;4054;71.0;1903;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANOT.ST
AOI.ST;AFRICA OIL;57.1;121;52.4;113;51.2;151;53.6;128;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AOI.ST
AQ.ST;AROS QUALITY;57.1;106;63.0;119;59.5;194;59.9;139;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AQ.ST
ARCM.ST;ARCAM;63.6;105;59.3;107;61.5;301;61.5;171;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCM.ST
ARCOMA.ST;ARCOMA;52.4;137;51.5;158;41.8;120;48.6;138;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCOMA.ST
ARCT.ST;ARCTIC GOLD;57.9;282;51.4;268;53.6;654;54.3;401;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCT.ST
ARISE.ST;ARISE AB;52.6;131;56.8;159;53.5;233;54.3;174;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARISE.ST
AROC.ST;AROCELL;72.2;125;53.5;141;52.0;171;59.2;145;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AROC.ST
ARP.ST;ARCTIC PAPER;70.0;132;61.8;146;62.1;207;64.6;161;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARP.ST
ASSA-B.ST;ASSA ABLOY B;43.5;98;43.2;106;54.5;123;47.1;109;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ASSA-B.ST
ATCO-A.ST;ATLAS COPCO A;66.7;119;57.1;119;53.5;161;59.1;133;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATCO-A.ST
ATCO-B.ST;ATLAS COPCO B;64.7;104;58.5;123;55.7;156;59.6;127;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATCO-B.ST
ATIC.ST;ACTIC GROUP;83.3;176;75.0;179;75.0;179;77.8;178;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATIC.ST
ATORX.ST;ALLIGATOR BIOSCIENCE;54.2;122;52.4;115;52.3;115;53.0;117;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATORX.ST
ATRLJ-B.ST;ATRIUM LJUNGBERG B;61.5;101;58.6;104;62.3;151;60.8;118;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATRLJ-B.ST
ATT.ST;ATTENDO;45.0;99;51.3;112;60.2;172;52.2;127;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATT.ST
AUR.ST;AURIANT MINING;50.0;90;43.5;47;55.6;443;49.7;193;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AUR.ST
AUTO.ST;VA AUTOMOTIVE;53.3;212;58.8;237;55.2;296;55.8;248;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AUTO.ST
AVEG-B.ST;AVEGA GROUP ser. B;;;;;;;;;
AVEN.ST;AVENSIA;60.0;125;60.7;124;52.5;195;57.7;148;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AVEN.ST
AVT-B.ST;AVTECH SWEDEN;77.8;117;65.8;215;50.6;170;64.7;167;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AVT-B.ST
AXFO.ST;AXFOOD;54.5;113;41.3;106;51.2;123;49.0;114;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AXFO.ST
AXIC-A.ST;AXICHEM A;70.6;188;64.3;269;57.1;278;64.0;245;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AXIC-A.ST
AXIS.ST;AXIS;40.0;99;48.4;106;48.4;119;45.6;108;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AXIS.ST
AZA.ST;AVANZA BANK HOLDING;70.6;137;76.9;158;77.9;319;75.1;204;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AZA.ST
AZN.ST;ASTRAZENECA;75.0;108;65.6;150;65.2;229;68.6;162;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AZN.ST
B3IT.ST;B3IT MANAGEMENT;40.0;94;42.9;103;43.5;112;42.1;103;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=B3IT.ST
BACTI-B.ST;BACTIGUARD HOLD;50.0;110;50.0;148;56.1;224;52.0;160;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BACTI-B.ST
BALD-B.ST;FASTIGHETS BALDER B;66.7;114;60.0;123;56.2;153;61.0;130;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BALD-B.ST
BALD-PREF.ST;FASTIGHETS AB BALDER PRF;;;;;;;;;
BAYN.ST;BAYN EUROPE;57.1;114;50.0;250;56.1;640;54.4;334;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BAYN.ST
BEGR.ST;BE GROUP;52.6;122;56.8;209;55.4;379;54.9;236;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEGR.ST
BEIA-B.ST;BEIJER ALMA B;50.0;108;56.8;150;50.7;161;52.5;139;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEIA-B.ST
BEIJ-B.ST;BEIJER REF AB;60.0;126;68.8;146;64.7;172;64.5;148;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEIJ-B.ST
BELE.ST;BEIJER ELECTRONICS GROUP;81.2;126;61.1;156;65.6;208;69.3;163;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BELE.ST
BERG-B.ST;BERGMAN & BEVING;76.5;134;62.2;177;65.8;274;68.2;195;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BERG-B.ST
BESQ.ST;BESQAB PROJEKT & FASTIGHETER;83.3;145;64.3;180;63.3;333;70.3;219;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BESQ.ST
BETS-B.ST;BETSSON B;63.2;117;65.9;142;63.9;187;64.3;148;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BETS-B.ST
BILI-A.ST;BILIA A;52.4;111;48.6;126;51.9;161;51.0;132;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BILI-A.ST
BILL.ST;BILLERUD KORSNAS;28.6;88;41.7;91;59.0;120;43.1;99;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BILL.ST
BIM.ST;BIMOBJECT;61.1;139;65.8;229;69.1;1684;65.3;684;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIM.ST
BINV.ST;BIOINVENT INTERNATIONAL;52.9;136;62.1;187;63.9;391;59.6;238;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BINV.ST
BIOG-B.ST;BIOGAIA B;55.0;130;57.1;168;61.8;252;58.0;183;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOG-B.ST
BIOS.ST;BIOSERVO TECHNOLOGIES;43.5;82;48.0;106;48.0;106;46.5;98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOS.ST
BIOT.ST;BIOTAGE;63.6;163;71.1;279;65.3;470;66.7;304;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOT.ST
BIOVIC-B.ST;BIOVICA INTERNATIONAL;78.6;110;80.0;164;80.0;164;79.5;146;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOVIC-B.ST
BMAX.ST;BYGGMAX GROUP;44.4;101;52.8;119;53.9;137;50.4;119;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BMAX.ST
BOL.ST;BOLIDEN;75.0;125;72.2;124;62.2;212;69.8;153;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOL.ST
BONAV-A.ST;BONAVA A;77.8;116;60.0;121;58.1;149;65.3;128;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BONAV-A.ST
BONAV-B.ST;BONAVA B;65.2;103;53.7;110;57.1;140;58.7;117;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BONAV-B.ST
BONG.ST;BONG;46.7;107;42.4;125;44.1;158;44.4;130;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BONG.ST
BOOZT.ST;BOOZT;53.8;134;57.1;134;57.1;134;56.0;134;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOOZT.ST
BORG.ST;BJORN BORG;56.2;138;56.2;138;53.0;224;55.1;166;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BORG.ST
BOUL.ST;BOULE DIAGNOSTICS;75.0;125;71.9;211;75.0;1343;74.0;559;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOUL.ST
BRAV.ST;BRAVIDA HOLDING;73.7;115;62.2;113;49.4;106;61.8;111;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRAV.ST
BRE2.ST;BREDBAND2 I SKANDINAVIEN;36.8;116;37.0;114;42.1;151;38.6;127;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRE2.ST
BRG-B.ST;BERGS TIMBER B;47.4;100;51.4;111;46.7;113;48.5;108;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRG-B.ST
BRIG.ST;BRIGHTER AB;65.0;227;64.7;390;64.1;1159;64.6;592;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIG.ST
BRIG-TO3.ST;BRIGHTER SUBSCR OPT;68.4;212;66.7;355;66.7;355;67.3;307;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIG-TO3.ST
BRIN-B.ST;BRINOVA FASTIGHETER;37.5;93;37.5;94;42.3;102;39.1;96;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIN-B.ST
BRIOX.NGM;BRIOX;42.9;96;48.4;128;38.8;107;43.4;110;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIOX.NGM
BTS-B.ST;BTS GROUP B;70.6;104;54.3;95;47.8;102;57.6;100;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BTS-B.ST
BUFAB.ST;BUFAB;71.4;122;63.4;169;63.3;306;66.0;199;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BUFAB.ST
BULTEN.ST;BULTEN;46.7;106;68.6;149;58.7;190;58.0;148;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BULTEN.ST
BURE.ST;BURE EQUITY;46.2;96;57.6;131;54.7;198;52.8;141;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BURE.ST
BUSER.ST;BAMBUSER;70.0;101;70.8;106;70.8;106;70.5;104;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BUSER.ST
BWL.ST;BRINGWELL;;;;;;;;;
BYGGP.ST;BYGGPARTNER I DALARNA HOLDING;55.6;127;52.2;121;50.0;119;52.6;122;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BYGGP.ST
CAMX.ST;CAMURUS;82.4;110;78.8;144;73.8;352;78.3;202;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAMX.ST
CANTA.ST;CANTARGIA;64.3;158;70.4;240;62.5;276;65.7;224;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CANTA.ST
CAPAC.ST;CAPACENT HOLDING;52.9;138;54.8;147;61.4;314;56.4;199;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAPAC.ST
CAPIO.ST;CAPIO;33.3;96;47.5;101;50.0;112;43.6;103;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAPIO.ST
CASO.ST;CASSANDRA OIL;75.0;242;66.7;246;66.1;426;69.3;304;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CASO.ST
CAST.ST;CASTELLUM;52.6;106;54.1;121;50.6;125;52.4;117;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAST.ST
CAT-A.ST;CATELLA A;75.0;129;57.6;142;60.0;164;64.2;145;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAT-A.ST
CAT-B.ST;CATELLA B;48.0;100;53.5;121;53.2;146;51.6;122;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAT-B.ST
CATE.ST;CATENA;66.7;105;62.5;122;58.6;134;62.6;120;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CATE.ST
CBA.ST;CYBAERO;62.5;118;69.7;567;65.2;1035;65.8;573;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CBA.ST
CBTT-B.ST;CHRISTIAN BERNER TECH TRADE;52.9;101;51.5;108;46.4;104;50.3;104;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CBTT-B.ST
CCC.ST;CAVOTEC;61.5;106;53.3;117;58.3;216;57.7;146;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CCC.ST
CCOR-B.ST;CONCORDIA MARITIME B;63.6;112;42.9;90;45.0;94;50.5;98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CCOR-B.ST
CE.ST;CORTUS ENERGY;57.1;155;65.6;540;67.2;5463;63.3;2052;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CE.ST
CELLNK-B.ST;CELLINK;69.6;170;69.2;220;70.7;280;69.8;223;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CELLNK-B.ST
CEVI.ST;CELLAVISION;65.4;122;65.9;240;67.4;747;66.2;369;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CEVI.ST
CFISH.ST;CRUNCHFISH;50.0;141;50.0;352;50.0;378;50.0;290;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CFISH.ST
CHRO.ST;CHROMOGENICS;83.3;171;88.9;211;88.9;211;87.0;197;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CHRO.ST
CI-B.ST;CELL IMPACT B;50.0;217;40.0;204;56.1;1026;48.7;482;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CI-B.ST
CINN.ST;CINNO FIN TECH;66.7;124;63.9;133;64.7;279;65.1;178;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CINN.ST
CLA-B.ST;CLOETTA B;70.6;115;56.4;100;52.6;148;59.9;121;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLA-B.ST
CLAS-B.ST;CLAS OHLSON B;54.2;99;51.2;113;49.4;137;51.6;116;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLAS-B.ST
CLAV.ST;CLAVISTER HOLDING;76.9;212;69.7;397;71.4;765;72.7;458;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLAV.ST
CLBIO.ST;CORLINE BIOMED;52.9;106;48.6;121;51.4;295;51.0;174;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLBIO.ST
CLDRE-B.NGM;CLOUDREPUBLIC;55.0;52;52.2;44;52.2;44;53.1;46;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLDRE-B.NGM
CLEANT-A.ST;CLEANTECH INVEST;;;;;;;;;
CLEM.ST;CLEMENDO GROUP;71.4;99;53.3;96;53.3;182;59.3;125;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLEM.ST
CLEMO.ST;CLEAN MOTION;61.5;140;54.8;186;53.2;191;56.5;172;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLEMO.ST
CLS-B.ST;CLINICAL LASERTHERMIA SYSTEMS B;60.0;224;64.5;336;52.2;533;58.9;364;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLS-B.ST
CLX.ST;CLX COMMUNICATIONS;50.0;142;50.0;159;48.4;254;49.5;185;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLX.ST
CMOTEC-B.ST;SCANDINAVIAN CHEMOTECH;57.1;231;64.3;280;63.3;277;61.6;262;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CMOTEC-B.ST
COGS.ST;COGNOSEC;75.0;168;57.7;283;58.3;494;63.7;315;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COGS.ST
COIC.ST;CONCENTRIC;45.8;117;54.5;131;55.6;180;52.0;142;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COIC.ST
COLL.ST;COLLECTOR;72.2;122;53.8;102;56.6;164;60.9;129;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COLL.ST
COMH.ST;COM HEM HOLDING;66.7;114;57.6;124;55.6;166;60.0;134;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COMH.ST
COMPI.NGM;COMPUTER INNOVATION I VAXJO;45.0;87;50.0;72;54.2;193;49.7;117;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COMPI.NGM
CONS-B.ST;CONSILIUM B;70.6;125;58.1;131;63.5;242;64.1;166;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CONS-B.ST
COOR.ST;COOR SERVICE MANAGEMENT;61.1;126;63.2;150;58.8;236;61.0;170;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COOR.ST
COPP-B.ST;COPPERSTONE RESOURCE;50.0;139;58.3;373;65.2;2177;57.8;896;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COPP-B.ST
CORE.ST;COREM PROPERTY GROUP;;;;;;;;;
CORE-PREF.ST;COREM PROPERTY GROUP PRF;50.0;106;46.7;115;51.6;123;49.4;114;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CORE-PREF.ST
