NAMESHORT_SB;NAME_SB;MONTH_6_PERCENT;MONTH_6_VALUE;MONTH_12_PERCENT;MONTH_12_VALUE;MONTH_24_PERCENT;MONTH_24_VALUE;AVERAGE_PERCENT;AVERAGE_VALUE;URL_SB
CRAD-B.ST;C-RAD B;62.5;126;73.3;319;63.5;568;66.4;337;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRAD-B.ST
CRED-A.ST;CREADES A;57.9;121;69.2;175;64.4;246;63.8;180;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRED-A.ST
CRWN;CROWN ENERGY;78.6;111;62.5;213;57.1;274;66.1;199;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRWN
CTM.ST;CATENA MEDIA;50.0;147;47.2;173;51.5;274;49.6;198;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CTM.ST
CTT.ST;CTT SYSTEMS;62.5;131;66.7;190;64.1;545;64.4;288;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CTT.ST
CYXO.ST;CYXONE;58.3;167;50.0;192;51.8;240;53.4;199;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CYXO.ST
DCAR-B.ST;D CARNEGIE & CO B;76.5;109;79.3;128;80.0;246;78.6;161;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DCAR-B.ST
DDM.ST;DDM HOLDING;52.6;110;51.4;145;51.3;152;51.8;135;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DDM.ST
DEDI.ST;DEDICARE AB;66.7;158;63.2;196;60.3;664;63.4;339;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DEDI.ST
DEFL-B.ST;DEFLAMO B;78.6;825;73.9;583;62.5;497;71.7;635;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DEFL-B.ST
DELARK.ST;DELARKA HOLDING;36.4;90;37.2;85;36.5;81;36.7;85;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DELARK.ST
DIAH.ST;DIADROM HOLDING;50.0;101;50.0;115;50.0;115;50.0;110;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIAH.ST
DIGN.ST;DIGNITANA;53.8;541;55.2;783;55.6;1001;54.9;775;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIGN.ST
DIOS.ST;DIOS FASTIGHETER;39.1;113;48.8;125;53.2;140;47.0;126;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIOS.ST
DIST.ST;DISTIT;64.3;119;61.5;130;56.5;266;60.8;171;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIST.ST
DIVI-B.NGM;DIVIDEND SWEDEN;58.8;139;64.0;279;71.7;1650;64.8;689;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIVI-B.NGM
DMYD-B.ST;DIAMYD MEDICAL B;60.0;114;48.1;95;44.8;160;51.0;123;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DMYD-B.ST
DOM.ST;DOMETIC GROUP;58.3;112;66.7;138;64.9;178;63.3;142;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DOM.ST
DOME.ST;DOME ENERGY;52.9;119;53.8;160;58.0;395;54.9;224;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DOME.ST
DORO.ST;DORO;76.9;120;66.7;148;71.0;262;71.5;176;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DORO.ST
DOXA.ST;DOXA;86.7;227;71.9;293;61.7;513;73.4;344;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DOXA.ST
DRIL.ST;DRILLCON;52.6;133;51.7;165;52.5;216;52.3;171;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DRIL.ST
DUNI.ST;DUNI;57.1;114;52.9;121;59.7;146;56.6;127;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DUNI.ST
DURC-B.ST;DUROC B;70.0;158;65.0;245;64.6;296;66.5;233;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DURC-B.ST
DUST.ST;DUSTIN GROUP;68.4;129;66.7;137;51.8;115;62.3;127;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DUST.ST
EAST.ST;EASTNINE;55.6;136;51.9;136;54.4;193;54.0;155;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EAST.ST
EDGE.ST;EDGEWARE;40.0;73;59.5;96;59.5;96;53.0;88;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EDGE.ST
EFFP.ST;EFFNETPLATTFORMEN;22.7;69;31.6;70;31.6;70;28.6;69;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EFFP.ST
EKTA-B.ST;ELEKTA B;82.4;135;72.7;161;70.4;242;75.2;179;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EKTA-B.ST
ELAN-B.ST;ELANDERS B;52.9;107;56.4;119;54.7;207;54.7;144;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELAN-B.ST
ELEC.ST;ELECTRA GRUPPEN;31.6;101;34.2;96;35.6;98;33.8;98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELEC.ST
ELN.ST;ELLEN;50.0;262;50.0;269;43.4;154;47.8;228;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELN.ST
ELOS-B.ST;ELOS MEDTECH;35.0;83;40.0;80;50.0;101;41.7;88;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELOS-B.ST
ELTEL.ST;ELTEL;68.8;116;72.2;202;63.2;209;68.1;175;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELTEL.ST
ELUX-A.ST;ELECTROLUX A;71.4;108;75.0;132;73.4;178;73.3;139;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELUX-A.ST
ELUX-B.ST;ELECTROLUX B;47.4;102;54.5;118;63.0;143;55.0;121;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELUX-B.ST
ENDO.ST;ENDOMINES;65.0;117;61.1;229;61.4;439;62.5;261;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENDO.ST
ENEA.ST;ENEA;60.0;105;63.6;120;62.5;173;62.0;132;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENEA.ST
ENERS.ST;ENERSIZE;71.4;112;68.8;121;68.8;121;69.7;118;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENERS.ST
ENG.ST;INTERNATIONELLA ENGELSKA SKOLAN I SV;60.0;130;48.1;134;51.6;140;53.2;134;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENG.ST
ENQ.ST;ENQUEST;66.7;175;64.1;183;64.6;942;65.1;433;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENQ.ST
ENRO.ST;ENIRO;65.0;304;63.2;425;62.0;593;63.4;440;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENRO.ST
ENRO-PREF.ST;ENIRO PRF;57.1;118;56.2;252;58.5;310;57.3;226;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENRO-PREF.ST
ENZY.ST;ENZYMATICA;50.0;139;56.8;153;54.1;223;53.6;171;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENZY.ST
EOID.NGM;EYEONID GROUP;76.2;242;67.6;792;73.3;1920;72.4;984;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOID.NGM
EOLU-B.ST;EOLUS VIND B;57.1;120;48.8;122;56.2;164;54.0;135;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOLU-B.ST
EOS.ST;EOS RUSSIA;62.5;108;69.0;161;69.6;217;67.0;162;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOS.ST
EPIS-B.ST;EPISURF MEDICALORD;61.1;133;65.6;195;66.7;486;64.5;271;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EPIS-B.ST
ERIC-A.ST;ERICSSON A;58.8;111;68.6;128;65.2;136;64.2;125;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ERIC-A.ST
ERIC-B.ST;ERICSSON B;80.0;125;75.8;167;62.7;206;72.8;166;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ERIC-B.ST
ESSITY-A.ST;ESSITY;40.0;98;40.0;98;40.0;98;40.0;98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ESSITY-A.ST
ESSITY-B.ST;ESSITY;73.7;114;73.7;114;73.7;114;73.7;114;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ESSITY-B.ST
ETX.ST;ETRION;58.8;112;48.5;105;55.7;182;54.3;133;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ETX.ST
EVO.ST;EVOLUTION GAMING GROUP;59.1;115;60.5;171;67.9;339;62.5;208;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EVO.ST
EWRK.ST;EWORK GROUP;60.9;111;59.6;135;58.2;202;59.6;149;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EWRK.ST
EXPRS2.ST;EXPRES2ION BIOTECH HOLDING;59.1;247;57.9;289;55.4;286;57.5;274;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EXPRS2.ST
FABG.ST;FABEGE AB;78.9;124;54.1;134;58.4;202;63.8;153;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FABG.ST
FAG.ST;FAGERHULT;77.8;133;66.7;163;65.8;364;70.1;220;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FAG.ST
FEEL.ST;FEELGOOD SVENSKA;37.5;95;47.2;120;50.0;470;44.9;228;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FEEL.ST
FIL.ST;FILO MINING;50.0;95;54.2;129;52.9;144;52.4;122;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FIL.ST
FING-B.ST;FINGERPRINT CARDS B;54.5;114;51.4;126;56.5;316;54.1;185;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FING-B.ST
FIRE.ST;FIREFLY;35.3;93;37.5;97;41.2;115;38.0;101;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FIRE.ST
FMM-B.ST;FM MATTSSON MORA GROUP;61.1;115;50.0;107;50.0;107;53.7;109;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FMM-B.ST
FNMA-PREF.ST;FNMA PREF PRF;33.3;96;33.3;104;44.7;166;37.1;122;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FNMA-PREF.ST
FOI-B.ST;FENIX OUTDOOR INTERNATIONAL;72.2;149;70.0;182;58.1;318;66.8;216;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FOI-B.ST
FOOT-PREF.ST;FOOTWAY GROUP PRF;25.0;90;23.1;89;23.1;89;23.7;89;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FOOT-PREF.ST
FPAR.ST;FAST PARTNER;66.7;110;60.5;127;66.2;268;64.5;168;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FPAR.ST
FPAR-PREF.ST;FASTPARTNER PRF;50.0;101;33.3;99;42.4;104;41.9;101;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FPAR-PREF.ST
FPIP.ST;FORMPIPE;50.0;99;50.0;122;46.8;165;48.9;128;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FPIP.ST
FRIM.ST;ROBERT FRIMAN INTERNATIONAL;;;;;;;;;
FRISQ.ST;FRISQ HOLDING;72.0;232;63.4;197;63.3;194;66.2;207;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FRISQ.ST
FRNT-B.NGM;FRONTOFFICE NORDIC B;61.9;91;48.8;79;55.9;249;55.5;139;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FRNT-B.NGM
G5EN.ST;G5 ENTERTAINMENT;61.1;167;58.8;280;63.2;2055;61.0;834;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=G5EN.ST
GAPW-B.ST;GAPWAVES;85.7;508;60.0;782;59.4;855;68.4;715;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GAPW-B.ST
GAPW-TO-1B.ST;GAPWAVES SUBSCR OPT;;;;;;;;;
GARO.ST;GARO;68.4;128;64.9;145;60.9;294;64.7;189;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GARO.ST
GCOR.ST;GAMING CORPS;81.2;239;55.8;202;60.0;508;65.7;316;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GCOR.ST
GENO.ST;GENOVIS B;73.3;156;55.2;172;44.8;184;57.8;170;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GENO.ST
GETI-B.ST;GETINGE B;78.6;125;58.8;138;55.1;149;64.2;137;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GETI-B.ST
GHP.ST;GHP SPECIALTY CARE;56.2;110;46.7;126;51.6;240;51.5;158;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GHP.ST
GHUS-B.ST;GOTENEHUS GROUP B;55.6;142;58.3;181;58.1;226;57.3;183;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GHUS-B.ST
GOMX.ST;GOMSPACE GROUP;85.7;133;80.0;353;79.5;702;81.7;396;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GOMX.ST
GPG-PREF.ST;GENOVA PROPERTY GROUP PRF;55.6;103;51.2;103;41.2;98;49.3;101;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GPG-PREF.ST
GPX.ST;GASPOROX;55.6;134;52.6;168;52.4;183;53.5;161;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GPX.ST
GREAT.ST;GREATER THAN;53.8;88;52.0;196;48.8;193;51.5;159;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GREAT.ST
GRNG.ST;GRANGES;58.8;101;61.3;122;52.1;138;57.4;120;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GRNG.ST
GTAB B;GLYCOREX TRANSPLANTATION B;66.7;123;41.2;82;41.5;114;49.8;106;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GTAB B
GTGS.NGM;GOLD TOWN GAMES;45.8;217;54.8;385;57.1;871;52.6;491;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GTGS.NGM
GUGEO.NGM;GUIDELINE GEO;54.5;128;39.1;138;40.4;135;44.7;133;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GUGEO.NGM
GUNN.ST;GUNNEBO;70.6;135;62.2;148;56.2;166;63.0;149;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GUNN.ST
GWS.ST;GWS PRODUCTION;63.2;92;67.7;221;73.0;626;68.0;313;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GWS.ST
HANC-PREF-A.ST;HANCAP PRF;53.3;107;44.4;117;44.9;135;47.5;119;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HANC-PREF-A.ST
HANZA.ST;HANZA HOLDING;73.3;122;52.9;111;52.2;174;59.5;135;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HANZA.ST
HAV-B.ST;HAVSFRUN INVESTMENT B;30.8;91;21.2;78;27.7;75;26.6;81;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HAV-B.ST
HEBA-B.ST;HEBA FASTIGHETS B;27.8;92;26.5;85;36.4;89;30.2;88;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEBA-B.ST
HEIM-PREF.ST;HEIMSDATEN PRF;60.0;103;58.3;105;57.4;130;58.6;112;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEIM-PREF.ST
HELIO.ST;HELIOSPECTRA;77.8;325;55.3;461;51.4;1185;61.5;657;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HELIO.ST
HEMC.ST;HEMCHECK SWEDEN;80.0;189;73.1;586;73.1;586;75.4;453;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMC.ST
HEMC-TO1.ST;HEMCHECK SWEDEN SUBSCR OPT;70.0;269;62.5;460;62.5;460;65.0;396;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMC-TO1.ST
HEMF.ST;HEMFOSA FASTIGHETER AB;73.3;108;66.7;128;53.8;127;64.6;121;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMF.ST
HEMF-PREF.ST;HEMFOSA FASTIGHETER PRF;53.8;96;55.2;103;42.6;109;50.5;102;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMF-PREF.ST
HEXA-B.ST;HEXAGON B;66.7;118;58.1;111;55.2;143;60.0;124;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEXA-B.ST
HIFA-B.ST;HIFA B;50.0;105;64.1;124;61.8;137;58.6;122;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HIFA-B.ST
HIQ.ST;HIQ INTERNATIONAL;60.9;113;65.9;140;64.6;233;63.8;162;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HIQ.ST
HLDX.ST;HALDEX;54.2;114;48.8;112;53.8;173;52.3;133;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HLDX.ST
HM-B.ST;HENNES & MAURITZ B;47.6;99;52.4;105;53.8;125;51.3;109;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HM-B.ST
HMED.ST;HANSA MEDICAL;53.8;129;64.5;337;57.7;1355;58.7;607;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HMED.ST
HMS.ST;HMS NETWORKS;72.2;118;72.2;195;67.1;336;70.5;216;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HMS.ST
HOFI.ST;HOIST FINANCE;86.7;139;58.6;143;53.7;156;66.3;146;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOFI.ST
HOGK-PREF-A.ST;AKTIEBOLAGET HOGKULLEN PRF;0.0;99;30.8;99;33.3;98;21.4;98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOGK-PREF-A.ST
HOLM-A.ST;HOLMEN A;60.0;131;55.8;138;51.8;152;55.9;140;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOLM-A.ST
HOLM-B.ST;HOLMEN B;61.5;121;58.1;136;53.4;169;57.7;142;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOLM-B.ST
HOVD.ST;HOVDING SVERIGE;64.7;111;57.1;132;52.2;454;58.0;232;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOVD.ST
HOYLU.ST;HOYLU;58.3;153;72.7;398;72.7;398;67.9;316;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOYLU.ST
HPOL-B.ST;HEXPOL B;60.0;110;65.7;121;61.7;160;62.5;130;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HPOL-B.ST
HTRO.ST;HEXATRONIC GROUP;75.0;131;68.4;196;64.7;485;69.4;270;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HTRO.ST
HUFV-A.ST;HUFVUDSTADEN A;70.6;103;57.6;104;62.3;138;63.5;115;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HUFV-A.ST
HUM.ST;HUMANA;47.6;105;61.5;129;53.6;126;54.2;120;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HUM.ST
HUSQ-A.ST;HUSQVARNA A;42.9;108;46.3;121;52.0;177;47.1;135;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HUSQ-A.ST
HUSQ-B.ST;HUSQVARNA B;42.9;107;48.8;119;50.6;172;47.4;132;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HUSQ-B.ST
IBT-B.ST;INFANT BACTERIAL THERAPEUTICS;66.7;271;61.5;456;68.9;1275;65.7;667;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IBT-B.ST
ICA.ST;ICA GRUPPEN;62.5;96;66.7;107;60.5;122;63.2;108;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ICA.ST
ICTA-B.ST;INTELLECTA B;;;;;;;;;
IJ.ST;INTRUM JUSTITIA;;;;;;;;;
IMMNOV.ST;IMMUNOVIA;47.1;117;55.9;128;65.8;533;56.3;259;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IMMNOV.ST
IMMU.ST;IMMUNICUM;83.3;164;68.0;242;62.9;465;71.4;290;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IMMU.ST
IMNP.ST;IMMUNE PHARMACEUTICALS;58.3;166;58.3;225;55.6;452;57.4;281;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IMNP.ST
IMPC.ST;IMPACT COATINGS;47.6;66;45.5;63;54.0;199;49.0;109;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IMPC.ST
INDEX.ST;INDEX PHARMACEUTICALS HOLDING;30.0;93;45.2;106;50.0;110;41.7;103;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INDEX.ST
INDT.ST;INDUTRADE;69.2;108;78.3;159;77.4;225;75.0;164;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INDT.ST
INDU-A.ST;INDUSTRIVARDEN A;52.9;110;64.5;130;62.7;178;60.0;139;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INDU-A.ST
INDU-C.ST;INDUSTRIVARDEN C;75.0;114;64.7;127;61.1;169;66.9;136;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INDU-C.ST
INISS-B.ST;INISSION;54.5;117;51.3;137;51.9;191;52.6;148;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INISS-B.ST
INSTAL.ST;INSTALCO INTRESSENTER;53.3;125;52.6;128;52.6;128;52.8;127;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INSTAL.ST
INTU.ST;INTUITIVE AERIAL;75.0;158;55.9;133;43.9;91;58.3;127;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INTU.ST
INVE-A.ST;INVESTOR A;52.9;113;54.1;122;57.7;176;54.9;137;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INVE-A.ST
INVE-B.ST;INVESTOR B;70.6;115;72.7;138;66.7;188;70.0;147;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INVE-B.ST
INWI.ST;INWIDO;80.0;125;75.8;155;66.7;223;74.2;167;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INWI.ST
IPCO.ST;INTERNATIONAL PETROLEUM CORPORATION;73.3;138;77.8;178;77.8;178;76.3;164;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IPCO.ST
IQSE.NGM;IQS ENERGI KOMFORT;58.8;89;57.6;93;59.6;97;58.7;93;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IQSE.NGM
IRLAB-A.ST;IRLAB THERAPEUTICS;53.3;111;52.0;275;52.0;275;52.4;220;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IRLAB-A.ST
IS.ST;IMAGE SYSTEMS;35.7;91;46.4;102;51.6;165;44.6;119;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IS.ST
ISOFOL.ST;ISOFOL MEDICAL;45.0;132;42.9;128;42.9;128;43.6;129;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ISOFOL.ST
ISR.ST;ISR IMMUNE SYSTEM REGULATION HOLDING;60.0;305;65.2;382;65.2;382;63.5;356;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ISR.ST
ITAB-B.ST;ITAB SHOP CONCEPT;57.1;107;60.7;120;61.5;160;59.8;129;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ITAB-B.ST
IVACC.ST;INTERVACC;66.7;113;61.1;128;61.1;128;63.0;123;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IVACC.ST
IVISYS.ST;IVISYS;55.0;165;56.4;215;55.4;133;55.6;171;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IVISYS.ST
IVSO.ST;INVISIO COMMUNICATIONS;71.4;105;64.3;190;60.6;239;65.4;178;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IVSO.ST
JAYS.ST;JAYS;45.5;159;40.0;251;40.0;301;41.8;237;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=JAYS.ST
JLT.ST;JLT MOBILE;59.1;114;63.9;175;62.2;413;61.7;234;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=JLT.ST
JM.ST;JM;63.2;103;69.7;126;70.1;199;67.7;142;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=JM.ST
K2A-PREF.ST;K2A KNAUST & AND ANDERSSON FASTIGHET;23.8;95;20.5;93;34.3;106;26.2;98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=K2A-PREF.ST
KABE-B.ST;KABE HUSVAGNAR B;52.6;103;65.8;152;58.8;284;59.1;179;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KABE-B.ST
KAHL.ST;KAPPAHL;60.0;122;55.8;121;52.5;179;56.1;140;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KAHL.ST
KAMBI.ST;KAMBI GROUP;73.3;142;64.9;203;63.6;276;67.3;207;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KAMBI.ST
KAN.ST;KANCERA;64.7;141;60.0;177;57.6;221;60.8;179;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KAN.ST
