NAMESHORT_SB;NAME_SB;MONTH_6_PERCENT;MONTH_6_VALUE;MONTH_12_PERCENT;MONTH_12_VALUE;MONTH_24_PERCENT;MONTH_24_VALUE;AVERAGE_PERCENT;AVERAGE_VALUE;URL_SB
KAPIAB.ST;KALLEBACK PROPERTY INVEST;44.4;98;46.9;105;46.9;106;46.1;103;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KAPIAB.ST
KARE.ST;KARESSA PHARMA;57.1;87;53.3;83;50.0;62;53.5;77;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KARE.ST
KARO.ST;KARO PHARMA;73.3;144;71.4;188;69.3;498;71.3;276;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KARO.ST
KDEV.ST;KAROLINSKA DEV;88.9;266;63.9;235;50.0;216;67.6;239;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KDEV.ST
KIND-SDB.ST;KINDRED GROUP SDR;57.1;126;59.0;145;63.0;260;59.7;177;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KIND-SDB.ST
KINV-A.ST;KINNEVIK A;66.7;116;65.7;152;67.2;206;66.5;158;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KINV-A.ST
KINV-B.ST;KINNEVIK B;47.1;106;57.1;128;60.6;186;54.9;140;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KINV-B.ST
KLAR.ST;KLARIA PHARMA;66.7;135;62.5;143;58.8;250;62.7;176;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLAR.ST
KLED.ST;KUNGSLEDEN;73.3;104;66.7;124;63.8;151;67.9;126;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLED.ST
KLOV-A.ST;KLOVERN A;60.0;103;65.6;134;54.3;162;60.0;133;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLOV-A.ST
KLOV-B.ST;KLOVERN B;61.9;97;74.2;134;69.8;184;68.6;138;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLOV-B.ST
KLOV-PREF.ST;KLOVERN PREF CNV PRF;63.2;105;67.7;118;66.2;130;65.7;117;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLOV-PREF.ST
KNOW.ST;KNOW IT;68.4;139;62.8;142;50.7;241;60.6;174;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KNOW.ST
KOBR MTFB;KOPPARBERGS B;66.7;150;59.0;180;59.7;319;61.8;216;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KOBR MTFB
KONT.ST;KONTIGO CARE;71.4;124;65.5;164;65.9;226;67.6;171;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KONT.ST
KOPY.ST;KOPY GOLDFIELDS;50.0;92;44.4;97;51.4;220;48.6;136;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KOPY.ST
LAGR-B.ST;LAGERCRANTZ GROUP B;66.7;126;70.3;172;62.3;222;66.4;173;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LAGR-B.ST
LAMM-B.ST;LAMMHULTS DESIGN GROUP B;87.5;116;65.8;114;55.0;170;69.4;133;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LAMM-B.ST
LATO-B.ST;LATOUR INVESTMENT B;60.9;115;53.8;126;57.5;170;57.4;137;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LATO-B.ST
LAUR.ST;LAURITZ.COM;71.4;234;61.8;373;62.0;480;65.1;362;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LAUR.ST
LEO.ST;LEOVEGAS;77.8;146;65.0;253;50.0;260;64.3;219;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LEO.ST
LEX.ST;LEXINGTON COMPANY;60.9;141;58.8;181;56.7;279;58.8;200;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LEX.ST
LIAB.ST;LINDAB INTERNATIONAL;73.7;117;60.0;138;61.6;187;65.1;147;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LIAB.ST
LIDDS.ST;LIDDS;64.7;189;63.3;302;51.6;264;59.9;251;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LIDDS.ST
LIFCO-B.ST;LIFCO B;80.0;145;76.3;187;71.8;289;76.0;207;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LIFCO-B.ST
LIFE B;LIFEASSAYS B;;;;;;;;;
LLSW-B.ST;LIGHTLAB SWE B;55.0;143;55.9;171;48.6;120;53.2;144;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LLSW-B.ST
LOOM-B.ST;LOOMIS B;64.7;139;63.6;159;70.1;296;66.1;198;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LOOM-B.ST
LUC.ST;LUCARA DIAMOND;60.9;138;58.1;165;65.3;280;61.4;194;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LUC.ST
LUG.ST;LUNDIN GOLD;53.8;108;56.5;128;62.7;200;57.7;145;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LUG.ST
LUMI.ST;LUNDIN MINING;52.4;164;54.8;189;54.8;189;54.0;180;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LUMI.ST
LUND-B.ST;LUNDBERGFORETAGEN B;68.4;102;72.7;125;69.8;187;70.3;138;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LUND-B.ST
LUPE.ST;LUNDIN PETROLEUM;64.7;123;59.0;113;57.7;168;60.5;134;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LUPE.ST
MACK-B.ST;MACKMYRA SVENSK WHISKEY B;63.2;132;57.6;229;44.9;202;55.2;187;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MACK-B.ST
MAG.ST;MAGNOLIA BOSTAD;81.2;185;70.6;252;62.5;489;71.4;308;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MAG.ST
MAHA-A.ST;MAHA ENERGY;45.0;122;59.4;149;60.9;186;55.1;152;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MAHA-A.ST
MAHA-A-TO-1.ST;MAHA ENERGY SUBSCR OPT;;;;;;;;;
MANTEX.ST;MANTEX;64.3;215;66.7;280;66.7;280;65.9;258;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MANTEX.ST
MATRA.ST;MATRA PETROLEUM;46.7;130;56.5;189;56.5;189;53.2;169;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MATRA.ST
MAV.ST;MAVSHACK AB;83.3;174;73.5;1452;70.3;4932;75.7;2186;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MAV.ST
MAXF.ST;MAXFASTIGHETER I SVERIGE;36.4;95;41.4;92;41.4;92;39.7;93;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MAXF.ST
MAXK.ST;MAXKOMPETENS;38.9;82;26.9;73;26.9;73;30.9;76;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MAXK.ST
MCAP.ST;MEDCAP;66.7;174;67.9;215;59.3;280;64.6;223;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MCAP.ST
MCNH.NGM;MEDICA CLINICAL NORTH;;;;;;;;;
MCOV-B.ST;MEDICOVER;75.0;121;64.3;116;64.3;116;67.9;117;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MCOV-B.ST
MEAB-B.ST;MALMBERGS ELEKTRISKA B;42.9;107;54.8;112;53.8;122;50.5;113;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MEAB-B.ST
MEDR-B.ST;MEDIRATT B;66.7;145;65.4;247;71.2;2393;67.8;928;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MEDR-B.ST
MEKO.ST;MEKONOMEN;50.0;113;34.4;100;47.0;126;43.8;113;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MEKO.ST
MELK.ST;MELKER SCHORLING;;;;;;;;;
MERT-A.NGM;MERTIVA;41.7;115;40.0;161;50.0;446;43.9;240;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MERT-A.NGM
MIC-SDB.ST;MILLICOM INTERNATIONAL CELLULAR SDR;38.1;94;55.6;117;60.2;207;51.3;139;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MIC-SDB.ST
MIDW-B.ST;MIDWAY HOLDING B;69.2;121;58.1;151;42.9;110;56.7;127;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MIDW-B.ST
MIND.ST;MINDMANCER;;;;;;;;;
MINEST.ST;MINESTO;66.7;176;54.2;177;56.6;364;59.2;239;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MINEST.ST
MIPS.ST;MIPS;70.6;126;68.0;149;68.0;149;68.9;141;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MIPS.ST
MOB.ST;MOBERG PHARMA;78.6;130;67.6;118;66.7;266;71.0;171;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MOB.ST
MOMENT.ST;MOMENT GROUP;50.0;107;27.3;83;40.3;90;39.2;93;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MOMENT.ST
MPI.ST;MEDICAL PROGNOSIS INSTITUTE;52.4;124;48.8;110;52.7;142;51.3;125;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MPI.ST
MQ.ST;MQ HOLDING;50.0;114;50.0;106;54.3;120;51.4;113;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MQ.ST
MRG.ST;MR GREEN;55.6;113;62.2;168;63.6;293;60.5;191;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MRG.ST
MSAB-B.ST;MICRO SYSTEMATION B;54.5;137;56.5;181;58.6;366;56.5;228;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MSAB-B.ST
MSC-B.ST;MSC GROUP;;;;;;;;;
MSON-A.ST;MIDSONA A;100.0;101;29.4;94;42.9;137;57.4;110;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MSON-A.ST
MSON-B.ST;MIDSONA B;71.4;146;62.2;155;61.2;247;64.9;182;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MSON-B.ST
MTG-A.ST;MTG A;72.2;134;72.2;154;52.6;163;65.7;150;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MTG-A.ST
MTG-B.ST;MODERN TIMES GROUP MTG B;65.0;127;64.3;137;65.9;204;65.1;156;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MTG-B.ST
MTRS.ST;MUNTERS GROUP;45.0;81;45.5;83;45.5;83;45.3;82;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MTRS.ST
MULQ.ST;MULTIQ INTERNATIONAL;36.8;96;29.7;77;35.1;68;33.9;80;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MULQ.ST
MULT.NGM;MULTIDOCKER CARGO HANDLING;52.4;77;54.5;82;54.5;82;53.8;80;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MULT.NGM
MVIR-B.ST;MEDIVIR B;64.3;96;72.4;136;60.9;214;65.9;148;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MVIR-B.ST
MYFC.ST;MYFC HOLDING;91.7;135;75.0;297;72.6;1873;79.8;768;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MYFC.ST
NAXS.ST;NAXS;71.4;102;50.0;92;48.1;87;56.5;93;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NAXS.ST
NCC-A.ST;NCC A;71.4;108;69.8;140;61.2;159;67.5;135;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NCC-A.ST
NCC-B.ST;NCC B;50.0;95;51.4;112;52.9;134;51.4;113;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NCC-B.ST
NDA-SEK.ST;NORDEA BANK;73.3;109;65.7;111;68.9;198;69.3;139;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NDA-SEK.ST
NDX.ST;NORDAX GROUP;50.0;128;65.7;140;65.7;230;60.5;166;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NDX.ST
NEPA.ST;NEPA;71.4;149;62.5;229;57.4;316;63.8;231;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NEPA.ST
NET-B.ST;NETENT;52.6;133;48.6;153;57.5;264;52.9;183;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NET-B.ST
NETI-B.ST;NET INSIGHT B;63.2;142;58.5;157;53.2;204;58.3;167;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NETI-B.ST
NEWA-B.ST;NEW WAVE GROUP B;68.4;114;58.1;97;57.8;159;61.4;123;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NEWA-B.ST
NEXAM.ST;NEXAM CHEMICAL HOLDING;64.7;216;54.8;210;57.9;469;59.1;298;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NEXAM.ST
NGQ.ST;NGEX RESOURCES;45.0;110;52.6;138;52.6;193;50.1;147;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NGQ.ST
NGS.ST;NGS GROUP;58.8;101;51.5;111;52.3;130;54.2;114;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NGS.ST
NHCBHFFS.ST;NORTHERN HORIZON CAPITAL ETF;46.2;99;33.3;95;33.3;95;37.6;96;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NHCBHFFS.ST
NIBE-B.ST;NIBE INDUSTRIER B;62.5;112;61.8;146;57.6;189;60.6;149;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NIBE-B.ST
NICKE.NGM;NICKEL MOUNTAIN RESOURCES;54.5;122;55.3;153;55.3;153;55.0;142;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NICKE.NGM
NICO.ST;NICOCCINO HOLD;50.0;433;55.6;406;54.2;394;53.3;411;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NICO.ST
NIL-B.ST;NILORNGRUPPEN;60.0;92;55.8;91;57.0;167;57.6;116;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NIL-B.ST
NMAN.ST;NEDERMAN HOLDING;61.1;127;66.7;141;62.3;200;63.4;156;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NMAN.ST
NOBI.ST;NOBIA;78.3;128;62.2;139;69.0;219;69.8;162;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOBI.ST
NOBINA.ST;NOBINA;50.0;124;51.4;150;54.4;237;51.9;170;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOBINA.ST
NOKIA-SEK.ST;NOKIA;60.0;125;51.2;132;51.7;176;54.3;144;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOKIA-SEK.ST
NOLA-B.ST;NOLATO B;52.4;159;53.7;211;64.8;332;57.0;234;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOLA-B.ST
NOMI.ST;NORDIC MINES;;;;;;;;;
NOTE.ST;NOTE;58.8;126;58.1;192;55.4;264;57.4;194;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOTE.ST
NP3.ST;NP3 FASTIGHETER;46.7;110;61.3;120;54.0;153;54.0;127;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NP3.ST
NTEK-B.ST;NOVOTEK B;62.5;114;55.6;149;42.1;127;53.4;130;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NTEK-B.ST
NTGRP.NGM;NET TRADING GROUP NTG;50.0;147;47.1;142;47.1;142;48.1;143;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NTGRP.NGM
NUE.ST;NUEVOLUTION;57.1;151;46.2;141;52.6;305;52.0;199;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NUE.ST
NVP.ST;NEUROVIVE PHARMACEUTICAL;72.2;147;69.0;187;65.7;844;69.0;392;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NVP.ST
NWG.ST;NORDIC WATERPROOFING HOLDING;42.9;106;50.0;114;47.6;109;46.8;109;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NWG.ST
NXTMS.ST;NEXSTIM;56.2;101;60.0;163;67.3;1825;61.2;696;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NXTMS.ST
OASM.ST;OASMIA PHARMACEUTICAL;47.4;163;48.6;235;54.5;516;50.2;304;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OASM.ST
OBAB.ST;ONLINE BRANDS NORDIC;75.0;106;50.0;87;50.0;191;58.3;128;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OBAB.ST
OBDU-B.NGM;OBDUCAT B;66.7;112;56.2;128;53.1;211;58.7;150;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OBDU-B.NGM
OBDU-PREF-B.NGM;OBDUCAT PRF;50.0;64;42.9;71;42.9;71;45.3;68;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OBDU-PREF-B.NGM
ODD.ST;ODD MOLLY INTERNATIONAL;50.0;99;55.6;129;52.9;159;52.8;129;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ODD.ST
OEM-B.ST;OEM INTERNATIONAL B;68.8;111;61.1;135;56.9;170;62.3;138;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OEM-B.ST
OLDM.ST;OLD MUTUAL;100.0;100;53.3;93;46.2;101;66.5;98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OLDM.ST
ONCO.ST;ONCOPEPTIDES;66.7;148;58.6;239;58.6;239;61.3;208;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ONCO.ST
OP.ST;OSCAR PROPERTIES;64.7;144;56.8;117;55.0;230;58.8;163;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OP.ST
OP-PREF.ST;OSCAR PROPERTIES PRF;53.8;144;42.4;148;37.3;141;44.5;144;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OP-PREF.ST
OP-PREFB.ST;OSCAR PROPERTIES HOLDING PRF;22.7;94;25.0;94;20.5;87;22.7;91;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OP-PREFB.ST
OPUS.ST;OPUS GROUP;66.7;109;48.3;108;50.0;261;55.0;159;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OPUS.ST
ORES.ST;INVESTMENT OERESUND;72.2;115;66.7;125;62.5;208;67.1;149;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORES.ST
ORGC.ST;ORGANOCLICK;47.6;95;55.3;96;52.1;126;51.7;105;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORGC.ST
ORIF.ST;ORIFLAME HOLDING;47.6;129;53.7;154;55.8;488;52.4;257;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORIF.ST
ORTI-A.ST;ORTIVUS A;54.5;169;66.7;3731;66.7;3731;62.6;2543;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORTI-A.ST
ORTI-B.ST;ORTIVUS B;57.1;140;61.8;250;55.1;345;58.0;245;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORTI-B.ST
ORX.ST;OREXO;82.4;207;64.9;232;66.2;426;71.2;288;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORX.ST
PACT.ST;PROACT IT GROUP;60.9;136;55.8;157;56.2;232;57.6;175;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PACT.ST
PALS-B.ST;PALLAS GROUP;62.5;142;65.2;166;65.2;166;64.3;158;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PALS-B.ST
PCAT.ST;PHOTOCAT;100.0;101;68.2;128;68.1;261;78.8;163;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PCAT.ST
PCELL.ST;POWERCELL SWEDEN;71.4;130;70.0;322;62.1;628;67.8;360;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PCELL.ST
PDX.ST;PARADOX INTERACTIVE;68.4;167;62.9;185;57.9;198;63.1;183;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PDX.ST
PEAB-B.ST;PEAB B;66.7;145;60.6;180;56.3;197;61.2;174;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PEAB-B.ST
PEGRO-PREF.ST;PEGROCO INVEST PRF;26.3;86;29.0;91;32.3;86;29.2;87;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PEGRO-PREF.ST
PFE.ST;PFIZER;42.9;99;55.6;101;65.2;169;54.6;123;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PFE.ST
PIEZO.ST;PIEZOMOTOR UPPSALA;78.6;363;71.9;529;65.2;654;71.9;515;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PIEZO.ST
PLAZ-B.ST;PLATZER FASTIGHETER;61.1;123;47.1;126;50.0;180;52.7;143;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PLAZ-B.ST
PLED.ST;PLED PHARMA;63.2;122;64.1;116;50.7;138;59.3;125;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PLED.ST
PNDX-B.ST;PANDOX;85.7;127;81.2;136;70.0;159;79.0;140;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PNDX-B.ST
PNVA.NGM;PAYNOVA;41.2;88;51.7;115;52.5;160;48.5;121;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PNVA.NGM
POLY.ST;POLYPLANK;66.7;119;68.2;131;62.2;354;65.7;201;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=POLY.ST
POLYG.ST;POLYGIENE;52.4;96;41.0;84;45.9;111;46.4;97;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=POLYG.ST
POOL-B.ST;POOLIA B;44.4;83;34.1;71;39.3;77;39.3;77;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=POOL-B.ST
PRCO-B.ST;PRECIO FISHBONE B;50.0;105;60.0;110;58.9;118;56.3;111;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PRCO-B.ST
PREC.ST;PRECISE BIOMETRICS;41.2;80;52.0;127;52.9;731;48.7;312;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PREC.ST
PREV-B.ST;PREVAS B;41.2;117;31.4;100;41.0;139;37.9;118;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PREV-B.ST
PRIC-B.ST;PRICER B;63.2;112;57.6;106;59.2;170;60.0;129;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PRIC-B.ST
PRIME.ST;PRIME LIVING;90.0;121;65.0;140;63.6;287;72.9;182;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PRIME.ST
PRLD.NGM;PROLIGHT DIAGNOSTICS;66.7;1097;65.0;1593;65.0;1593;65.6;1427;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PRLD.NGM
PROB.ST;PROBI AB;73.3;153;71.4;178;70.1;865;71.6;398;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PROB.ST
PROF-B.ST;PROFILGRUPPEN B;52.6;121;53.7;124;54.1;276;53.5;173;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PROF-B.ST
PXXS-SDB.ST;PEARL EXPLORATION AND PROD GDR;69.2;127;54.3;176;49.2;513;57.6;272;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PXXS-SDB.ST
QLRO.ST;QLIRO GROUP;36.8;95;48.7;118;54.8;225;46.8;146;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=QLRO.ST
QUART-PREF.ST;QUARTIERS PROPERTIES PRF;25.0;96;23.5;96;31.8;97;26.8;96;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=QUART-PREF.ST
RATO-A.ST;RATOS A;75.0;130;63.9;146;64.3;244;67.7;173;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RATO-A.ST
RATO-B.ST;RATOS B;63.6;105;65.7;115;59.5;147;62.9;122;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RATO-B.ST
RAY-B.ST;RAYSEARCH LABORATORIES B;82.4;162;71.0;196;64.6;483;72.7;280;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RAY-B.ST
RECI-B.ST;RECIPHARM AB;63.6;127;57.9;144;63.9;248;61.8;173;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RECI-B.ST
REJL-B.ST;REJLERS B;52.4;106;57.1;148;56.1;190;55.2;148;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=REJL-B.ST
RENT.NGM;RENTUNDER HOLDING;72.2;144;77.3;157;77.3;157;75.6;152;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RENT.NGM
RESURS.ST;RESURS HOLDING;42.1;105;62.5;117;69.8;174;58.1;132;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RESURS.ST
REZT.ST;REZIDOR HOTEL GROUP;63.2;125;51.4;116;61.0;149;58.5;130;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=REZT.ST
RISEN.NGM;RIPASSO ENERGY;65.0;358;68.4;396;67.5;376;67.0;376;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RISEN.NGM
RLS.ST;RUBICON LIFE SCIENCE;66.7;193;55.2;190;56.1;358;59.3;247;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RLS.ST
