NAMESHORT_SB;NAME_SB;MONTH_6_PERCENT;MONTH_6_VALUE;MONTH_12_PERCENT;MONTH_12_VALUE;MONTH_24_PERCENT;MONTH_24_VALUE;AVERAGE_PERCENT;AVERAGE_VALUE;URL_SB
RNBS.ST;RETAIL AND BRANDS;42.9;95;42.5;87;50.0;150;45.1;110;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RNBS.ST
RROS.ST;ROTTNEROS;68.8;119;50.0;133;50.0;151;56.3;134;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RROS.ST
RTC.ST;RETHINKING CARE SWEDEN;72.7;108;59.3;139;59.3;139;63.8;128;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RTC.ST
SAAB-B.ST;SAAB B;64.7;112;75.8;187;64.0;251;68.2;183;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAAB-B.ST
SAGA-A.ST;SAGAX;50.0;101;50.0;114;51.8;227;50.6;147;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAGA-A.ST
SAGA-B.ST;SAGAX B;56.2;95;52.8;102;52.9;152;54.0;116;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAGA-B.ST
SAGA-D.ST;SAGAX LINE D;38.5;100;58.6;113;54.5;110;50.5;107;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAGA-D.ST
SAGA-PREF.ST;SAGAX PRF;52.9;95;64.5;104;58.0;110;58.5;103;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAGA-PREF.ST
SALT-B.ST;SALTX TECHNOLOGY HOLDING;53.8;140;58.1;579;56.5;5429;56.1;2049;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SALT-B.ST
SALT-TO-2B.ST;SALTX TECHNOLOGY HOLDING SUBSCR OPT;57.1;152;65.4;701;67.6;1644;63.4;832;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SALT-TO-2B.ST
SAND.ST;SANDVIK;71.4;121;54.8;115;53.3;171;59.8;135;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAND.ST
SANION.ST;SANIONA A/S;64.3;127;75.0;210;72.7;1598;70.7;645;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SANION.ST
SAPIAB.ST;SALTANGEN;47.4;109;44.2;108;42.3;116;44.6;111;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAPIAB.ST
SARSYS.NGM;SCANDINAVIAN AIRPORT AND ROAD SYSTEM;21.1;56;27.6;41;27.6;41;25.4;46;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SARSYS.NGM
SAS.ST;SAS;55.6;125;55.9;217;55.3;263;55.6;201;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAS.ST
SAS-PREF.ST;SAS PRF;;;;;;;;;
SAVOS.ST;SAVO SOLAR;52.9;119;63.3;1347;63.3;3851;59.8;1772;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAVOS.ST
SAXG.ST;SAXLUND GROUP;35.0;101;36.4;137;50.0;223;40.5;153;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAXG.ST
SBB-B.ST;SAMHALLSBYGGNADSBOLAGET I NORDEN;50.0;111;57.1;149;51.3;267;52.8;175;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SBB-B.ST
SCA-A.ST;SVENSKA CELLULOSA A;57.1;136;47.5;145;57.9;184;54.2;155;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SCA-A.ST
SCA-B.ST;SVENSKA CELLULOSA B;63.2;129;62.2;145;55.4;144;60.3;139;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SCA-B.ST
SCST.ST;SCANDI STANDARD;28.6;99;34.1;86;44.9;110;35.9;98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SCST.ST
SDIP-B.ST;SDIPTECH;70.0;114;65.4;116;65.4;116;66.9;115;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SDIP-B.ST
SDIP-PREF.ST;SDIPTECH PRF;10.5;89;31.2;101;31.2;96;24.3;95;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SDIP-PREF.ST
SDOS.ST;SCANDIDOS;62.5;145;61.3;248;48.5;214;57.4;202;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SDOS.ST
SEAM.ST;SEAMLESS DISTRIBUTION B;;;;;;;;;
SEB-A.ST;SE BANKEN A;60.0;104;54.5;97;60.5;133;58.3;111;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SEB-A.ST
SEB-C.ST;SE BANKEN C;73.7;109;62.2;101;64.8;152;66.9;120;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SEB-C.ST
SECARE.ST;SWEDENCARE;50.0;125;61.3;138;54.0;123;55.1;128;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SECARE.ST
SECI.ST;SECITS HOLDING;52.6;86;56.5;93;56.5;93;55.2;90;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SECI.ST
SECT-B.ST;SECTRA B;35.0;105;38.2;120;44.4;187;39.2;137;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SECT-B.ST
SECU-B.ST;SECURITAS B;76.5;114;67.7;128;63.1;141;69.1;127;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SECU-B.ST
SEMC.ST;SEMCON;41.2;115;45.7;124;45.6;194;44.2;144;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SEMC.ST
SENS.ST;SENSYS GATSO;60.9;241;59.5;356;64.4;513;61.6;370;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SENS.ST
SERT.ST;SERSTECH;55.6;316;58.8;493;57.6;8518;57.3;3109;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SERT.ST
SES.ST;SCAND ENVIRO SYS;58.3;479;57.1;608;53.0;1167;56.1;751;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SES.ST
SEYE.ST;SMART EYE;80.0;85;71.1;110;71.1;110;74.1;101;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SEYE.ST
SEZI.ST;SENZIME;50.0;115;50.0;114;54.7;275;51.6;168;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SEZI.ST
SF.ST;STILLFRONT GROUP;75.0;220;66.7;266;60.6;383;67.4;289;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SF.ST
SHB-A.ST;SVENSKA HANDELSBANKEN A;75.0;115;62.9;104;60.8;133;66.2;117;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SHB-A.ST
SHB-B.ST;HANDELSBANKEN B;65.2;117;69.2;123;68.8;165;67.7;135;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SHB-B.ST
SHOT.ST;SCANDIC HOTELS GROUP;52.6;115;51.6;123;47.8;177;50.7;138;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SHOT.ST
SIMRIS-B.ST;SIMRIS ALG;62.5;163;48.5;163;57.1;258;56.0;194;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SIMRIS-B.ST
SINT.ST;SINTERCAST;80.0;121;45.2;101;45.6;96;56.9;106;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SINT.ST
SJR-B.ST;SJR B;62.5;114;55.9;132;55.7;142;58.0;129;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SJR-B.ST
SKA-B.ST;SKANSKA B;50.0;107;52.5;114;52.4;133;51.6;118;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SKA-B.ST
SKF-A.ST;SKF A;68.2;117;60.0;137;55.8;169;61.3;141;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SKF-A.ST
SKF-B.ST;SKF B;71.4;125;55.9;134;56.4;156;61.2;138;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SKF-B.ST
SKIS-B.ST;SKISTAR B;86.7;125;73.5;188;57.7;254;72.6;189;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SKIS-B.ST
SMF.ST;SEMAFO;73.3;126;59.5;119;60.9;302;64.6;182;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SMF.ST
SNM.ST;SHAMARAN PETROLEUM;75.0;146;73.1;193;60.9;374;69.7;237;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SNM.ST
SOBI.ST;SWEDISH ORPHAN BIOVITRUM;86.7;119;64.9;119;59.5;155;70.4;131;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SOBI.ST
SOF-B.ST;SOFTRONIC B;50.0;115;50.0;162;40.6;169;46.9;148;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SOF-B.ST
SOLT.ST;SOLTECH ENERGY;72.2;233;69.2;300;71.2;389;70.9;307;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SOLT.ST
SONE.ST;SONETEL;50.0;98;61.1;125;61.1;125;57.4;116;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SONE.ST
SOSIL.NGM;SOTKAMO SILVER;50.0;98;44.1;74;51.7;272;48.6;148;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SOSIL.NGM
SPIFFX.ST;SPIFFX;69.2;539;70.4;755;56.4;1119;65.3;804;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SPIFFX.ST
SPOR.ST;SPORTAMORE;80.0;139;78.8;237;70.1;541;76.3;305;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SPOR.ST
SPRINT.ST;SPRINT BIOSCIENCE;26.3;66;40.7;93;48.3;151;38.4;103;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SPRINT.ST
SRNKE-B.ST;SERNEKE GROUP;65.0;120;57.5;140;59.5;147;60.7;135;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SRNKE-B.ST
SSAB-A.ST;SSAB A;64.7;127;70.0;178;66.2;358;67.0;221;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SSAB-A.ST
SSAB-B.ST;SSAB B;76.9;127;78.8;181;68.7;353;74.8;220;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SSAB-B.ST
SSM.ST;SSM HOLDING;76.5;186;65.2;183;65.2;183;69.0;184;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SSM.ST
STAR-A.ST;STARBREEZE A;76.9;226;76.7;286;73.7;772;75.8;428;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STAR-A.ST
STAR-B.ST;STARBREEZE B;61.9;155;60.5;152;60.6;325;61.0;210;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STAR-B.ST
STE-A.ST;STORA ENSO A;65.2;126;61.2;139;62.1;187;62.8;150;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STE-A.ST
STEF-B.ST;STENDORREN FASTIGHETER;58.8;100;54.8;98;57.1;151;56.9;116;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STEF-B.ST
STE-R.ST;STORA ENSO R;63.2;131;55.8;132;58.2;186;59.1;149;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STE-R.ST
STIL.ST;STILLE;41.2;119;58.1;168;60.0;400;53.1;229;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STIL.ST
STRAX.ST;STRAX;56.2;101;57.6;116;52.9;143;55.6;120;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STRAX.ST
STW.ST;SEATWIRL;72.2;160;61.8;322;61.8;322;65.3;268;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STW.ST
SUSW.ST;SURGICAL SCIENCE SWEDEN;77.8;113;75.0;131;75.0;131;75.9;125;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SUSW.ST
SVED-B.ST;SVEDBERGS I DALSTORP B;44.4;100;39.5;91;46.1;116;43.3;102;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SVED-B.ST
SVIK.ST;STUDSVIK;60.0;107;48.6;110;46.7;301;51.8;172;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SVIK.ST
SVOL-A.ST;SVOLDER A;50.0;100;50.0;116;52.8;176;50.9;130;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SVOL-A.ST
SVOL-B.ST;SVOLDER B;70.0;102;66.7;131;63.2;240;66.6;157;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SVOL-B.ST
SWEC-A.ST;SWECO A;27.8;88;35.3;84;50.0;187;37.7;119;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SWEC-A.ST
SWEC-B.ST;SWECO B;82.6;133;72.1;147;65.4;210;73.4;163;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SWEC-B.ST
SWED-A.ST;SWEDBANK A;64.7;108;40.5;92;48.1;115;51.1;105;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SWED-A.ST
SWMA.ST;SWEDISH MATCH;73.3;112;60.6;116;58.2;127;64.0;118;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SWMA.ST
SWOL-B.ST;SWEDOL B;66.7;103;45.5;107;52.2;192;54.8;134;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SWOL-B.ST
SYSR.ST;SYSTEMAIR;55.0;100;46.7;97;40.0;97;47.2;98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SYSR.ST
TALK.ST;TALKPOOL;66.7;186;67.6;197;66.1;259;66.8;214;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TALK.ST
TANGI.ST;TANGIAMO TOUCH TECHNOLOGY;75.0;154;65.4;201;65.4;201;68.6;185;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TANGI.ST
TASTE.ST;MYTASTE;54.5;95;48.0;76;44.1;129;48.9;100;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TASTE.ST
TCC.ST;TC CONNECT;81.2;158;68.4;141;68.4;141;72.7;146;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TCC.ST
TCT.ST;TCT TECH SWEDEN;87.5;146;59.4;115;54.7;333;67.2;198;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TCT.ST
TEL2-A.ST;TELE2 A;63.2;106;65.7;114;69.9;192;66.3;137;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TEL2-A.ST
TEL2-B.ST;TELE2 B;66.7;106;57.4;117;57.0;131;60.4;118;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TEL2-B.ST
TEONE.ST;TARGETEVERYONE;50.0;109;37.5;66;49.2;120;45.6;98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TEONE.ST
TERRNT-B.ST;TERRANET HOLDING;53.8;157;50.0;146;50.0;146;51.3;149;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TERRNT-B.ST
TETY.ST;TETHYS OIL;57.9;123;63.6;181;63.1;331;61.5;211;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TETY.ST
TFBANK.ST;TF BANK;45.0;96;50.0;96;52.1;106;49.0;99;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TFBANK.ST
TGATE.NGM;THREE GATES;33.3;56;44.1;70;47.6;89;41.7;71;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TGATE.NGM
THQN-B.ST;THQ NORDIC;71.4;250;62.2;409;65.3;554;66.3;404;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=THQN-B.ST
THULE.ST;THULE GROUP;70.6;116;61.3;122;59.7;155;63.9;131;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=THULE.ST
TIEN.ST;TIETO;72.2;116;59.5;119;66.2;154;66.0;129;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TIEN.ST
TLSN.ST;TELIA COMPANY;66.7;106;69.7;122;57.3;117;64.6;115;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TLSN.ST
TMG.ST;THE MARKETING GROUP;57.1;129;66.7;595;69.6;2001;64.5;908;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TMG.ST
TOBII.ST;TOBII;75.0;182;68.8;241;66.7;382;70.2;268;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TOBII.ST
TOBIN.ST;TOBIN PROPERTIES;57.1;151;56.2;168;55.3;158;56.2;159;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TOBIN.ST
TOBIN-PREF.ST;TOBIN PROPERTIES PRF;47.4;108;37.5;101;35.1;43;40.0;84;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TOBIN-PREF.ST
TRAC-B.ST;TRACTION B;57.9;106;55.3;144;59.4;231;57.5;160;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TRAC-B.ST
TRANS.ST;TRANSTEMA;68.8;199;68.8;307;67.7;2512;68.4;1006;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TRANS.ST
TREL-B.ST;TRELLEBORG B;53.8;112;54.1;121;63.4;171;57.1;134;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TREL-B.ST
TRENT.ST;TRENTION;66.7;109;61.1;118;42.3;104;56.7;110;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TRENT.ST
TROAX.ST;TROAX GROUP;63.2;110;68.6;177;56.3;290;62.7;192;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TROAX.ST
UFLX-B.ST;UNIFLEX B;46.2;113;40.0;119;46.2;144;44.1;125;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=UFLX-B.ST
ULED.NGM;UNI-LIGHT LED;34.6;-13;37.8;-11;36.2;-10;36.2;-11;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ULED.NGM
UNIBAP.ST;UNIBAP;47.4;122;55.2;255;55.2;255;52.6;210;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=UNIBAP.ST
UTG.ST;UNLIMITED TRAVEL GROUP;53.3;125;51.7;146;52.4;230;52.5;167;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=UTG.ST
VBG-B.ST;VBG B;76.9;127;62.5;154;59.1;227;66.2;169;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VBG-B.ST
VEMF-SDB.ST;VOSTOK EMERGING FINANCE SDR;63.6;118;52.0;125;55.1;189;56.9;144;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VEMF-SDB.ST
VERI.ST;VERISEC;76.2;155;60.5;218;64.7;295;67.1;222;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VERI.ST
VICO.ST;VICORE PHARMA HOLDING;75.0;165;64.3;301;53.6;954;64.3;473;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VICO.ST
VICP.ST;VICTORIA PARK;42.1;100;48.6;120;52.2;228;47.6;149;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VICP.ST
VICP-B.ST;VICTORIA PARK B;64.3;115;60.7;134;60.7;295;61.9;181;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VICP-B.ST
VICP-PREF.ST;VICTORIA PARK PRF;33.3;92;36.1;97;40.0;108;36.5;99;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VICP-PREF.ST
VIT-B.ST;VITEC SOFTWARE GROUP B;61.9;112;54.1;133;53.7;218;56.6;154;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VIT-B.ST
VITR.ST;VITROLIFE;57.9;102;57.6;157;65.8;408;60.4;222;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VITR.ST
VNV-SDB.ST;VOSTOK NEW VENTURES SDR;57.1;102;53.8;104;59.4;185;56.8;130;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VNV-SDB.ST
VOLO.ST;VOLATI;43.8;105;47.4;134;47.5;133;46.2;124;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VOLO.ST
VOLO-PREF.ST;VOLATI PRF;33.3;98;40.0;105;37.5;113;36.9;105;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VOLO-PREF.ST
VOLV-A.ST;VOLVO A;66.7;106;64.7;126;66.7;211;66.0;147;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VOLV-A.ST
VOLV-B.ST;VOLVO B;62.5;116;62.5;126;58.5;199;61.2;147;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VOLV-B.ST
VRG-B.ST;VENUE B;42.1;99;41.9;98;47.7;167;43.9;121;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VRG-B.ST
VSSAB-B.ST;VIKING SUPPLY SHIPS;76.5;217;48.6;159;50.0;333;58.4;236;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VSSAB-B.ST
WALL-B.ST;WALLENSTAM B;58.8;102;59.5;115;61.3;143;59.9;120;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=WALL-B.ST
WESC.ST;WESC;47.4;123;45.2;107;39.0;47;43.9;92;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=WESC.ST
WIHL.ST;WIHLBORGS FASTIGHETER;75.0;103;75.0;133;71.0;179;73.7;138;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=WIHL.ST
WINT.ST;WEST INTERNATIONAL;64.3;117;65.5;237;60.6;356;63.5;236;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=WINT.ST
WISE.ST;WISE GROUP;43.8;113;40.5;112;45.1;144;43.1;123;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=WISE.ST
WTX.ST;WILSON THERAPEUTICS SHS;56.0;172;60.0;226;60.7;553;58.9;317;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=WTX.ST
XACT.ST;XACT OMX30 ETF;46.2;104;45.5;97;58.0;124;49.9;108;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT.ST
XACT-BEAR.ST;XACT BEAR ETF;50.0;111;47.2;112;51.2;108;49.5;110;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-BEAR.ST
XACT-BEAR-2.ST;XACT BEAR2 ETF;46.7;120;50.0;126;57.5;145;51.4;130;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-BEAR-2.ST
XACT-BULL.ST;XACT BULL ETF;61.5;99;54.8;110;57.3;148;57.9;119;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-BULL.ST
XACT-BULL-2.ST;XACT BULL2 ETF;60.0;104;65.5;112;63.4;162;63.0;126;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-BULL-2.ST
XACTHDIV.ST;XACTHDIV ETF;68.4;102;58.6;102;58.6;102;61.9;102;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACTHDIV.ST
XACT-NORDEN-30.ST;XACT NORDEN 30 ETF;50.0;98;45.0;104;51.2;110;48.7;104;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-NORDEN-30.ST
XACT-OMXSB-UTD.ST;XACT OMXSB Utd ETF;60.0;105;51.7;106;62.7;145;58.1;118;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-OMXSB-UTD.ST
XACT-SMABOLAG.ST;XACT SVENSKA SMABOLAG UCITS ETF;78.6;108;66.7;119;64.5;144;69.9;123;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-SMABOLAG.ST
XANO-B.ST;XANO INDUSTRI B;68.4;155;74.3;271;65.3;445;69.3;290;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XANO-B.ST
XBRANE.ST;XBRANE BIOPHARMA;66.7;168;52.6;284;61.7;428;60.3;293;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XBRANE.ST
XESC.ST;DBX ES50 DR 1C ETF;100.0;112;71.4;110;75.0;112;82.1;111;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XESC.ST
XINT.ST;XINTELA;53.3;103;48.1;109;49.1;200;50.2;137;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XINT.ST
XMEM.ST;DB X-TRACKERS MSCI EM ETF;56.5;114;61.2;113;61.3;118;59.7;115;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XMEM.ST
XMR.ST;XMREALITY;70.0;136;72.7;167;72.7;167;71.8;156;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XMR.ST
XMWO.ST;DBX MSCI WORLD ETF;60.0;110;43.3;105;51.6;117;51.6;110;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XMWO.ST
XSPX.ST;DB X-TRACKERS S&P 500 ETF;75.0;111;60.7;109;57.4;131;64.4;117;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XSPX.ST
XVIVO.ST;XVIVO PERFUS;72.2;115;61.8;134;53.8;211;62.6;153;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XVIVO.ST
ZAPLOX.ST;ZAPLOX;85.7;218;81.2;259;81.2;259;82.7;245;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ZAPLOX.ST
ZETA.ST;ZETA DISPLAY;47.1;116;60.6;224;55.7;580;54.5;306;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ZETA.ST
ZETA-PREF.ST;ZETADISPLAY PRF;60.0;98;52.9;108;52.9;108;55.3;104;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ZETA-PREF.ST
ZZ-B.ST;ZINZINO AB;33.3;75;38.5;85;45.3;109;39.0;89;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ZZ-B.ST
