NAMESHORT_SB;NAME_SB;MONTH_6_PERCENT;MONTH_6_VALUE;MONTH_12_PERCENT;MONTH_12_VALUE;MONTH_24_PERCENT;MONTH_24_VALUE;AVERAGE_PERCENT;AVERAGE_VALUE;URL_SB;VALUE_PERCENT_INDEX
SKA-B.ST;SKANSKA B;50;107;52.5;114;52.4;133;51.6;118;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SKA-B.ST;6.0888
SINT.ST;SINTERCAST;80;121;45.2;101;45.6;96;56.9;106;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SINT.ST;6.0314
SAGA-PREF.ST;SAGAX PRF;52.9;95;64.5;104;58;110;58.5;103;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAGA-PREF.ST;6.0255
BMAX.ST;BYGGMAX GROUP;44.4;101;52.8;119;53.9;137;50.4;119;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BMAX.ST;5.9976
CLAS-B.ST;CLAS OHLSON B;54.2;99;51.2;113;49.4;137;51.6;116;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLAS-B.ST;5.9856
GUGEO.NGM;GUIDELINE GEO;54.5;128;39.1;138;40.4;135;44.7;133;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GUGEO.NGM;5.9451
DIOS.ST;DIOS FASTIGHETER;39.1;113;48.8;125;53.2;140;47;126;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIOS.ST;5.922
ALIF-B.ST;ADDLIFE;50;86;57.5;87;58.1;148;55.2;107;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIF-B.ST;5.9064
PNVA.NGM;PAYNOVA;41.2;88;51.7;115;52.5;160;48.5;121;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PNVA.NGM;5.8685
FMM-B.ST;FM MATTSSON MORA GROUP;61.1;115;50;107;50;107;53.7;109;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FMM-B.ST;5.8533
COMPI.NGM;COMPUTER INNOVATION I VAXJO;45;87;50;72;54.2;193;49.7;117;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COMPI.NGM;5.8149
MQ.ST;MQ HOLDING;50;114;50;106;54.3;120;51.4;113;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MQ.ST;5.8082
NCC-B.ST;NCC B;50;95;51.4;112;52.9;134;51.4;113;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NCC-B.ST;5.8082
BONG.ST;BONG;46.7;107;42.4;125;44.1;158;44.4;130;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BONG.ST;5.772
BTS-B.ST;BTS GROUP B;70.6;104;54.3;95;47.8;102;57.6;100;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BTS-B.ST;5.76
ZETA-PREF.ST;ZETADISPLAY PRF;60;98;52.9;108;52.9;108;55.3;104;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ZETA-PREF.ST;5.7512
VOLO.ST;VOLATI;43.8;105;47.4;134;47.5;133;46.2;124;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VOLO.ST;5.7288
MEAB-B.ST;MALMBERGS ELEKTRISKA B;42.9;107;54.8;112;53.8;122;50.5;113;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MEAB-B.ST;5.7065
XMWO.ST;DBX MSCI WORLD ETF;60;110;43.3;105;51.6;117;51.6;110;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XMWO.ST;5.676
HANC-PREF-A.ST;HANCAP PRF;53.3;107;44.4;117;44.9;135;47.5;119;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HANC-PREF-A.ST;5.6525
CORE-PREF.ST;COREM PROPERTY GROUP PRF;50;106;46.7;115;51.6;123;49.4;114;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CORE-PREF.ST;5.6316
ISOFOL.ST;ISOFOL MEDICAL;45;132;42.9;128;42.9;128;43.6;129;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ISOFOL.ST;5.6244
HM-B.ST;HENNES & MAURITZ B;47.6;99;52.4;105;53.8;125;51.3;109;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HM-B.ST;5.5917
AXFO.ST;AXFOOD;54.5;113;41.3;106;51.2;123;49;114;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AXFO.ST;5.586
AHSL.ST;AHLSELL;52.2;98;56.8;97;58;102;55.7;99;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AHSL.ST;5.5143
UFLX-B.ST;UNIFLEX B;46.2;113;40;119;46.2;144;44.1;125;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=UFLX-B.ST;5.5125
DIAH.ST;DIADROM HOLDING;50;101;50;115;50;115;50;110;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIAH.ST;5.5
IQSE.NGM;IQS ENERGI KOMFORT;58.8;89;57.6;93;59.6;97;58.7;93;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IQSE.NGM;5.4591
XACT-BEAR.ST;XACT BEAR ETF;50;111;47.2;112;51.2;108;49.5;110;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-BEAR.ST;5.445
ORGC.ST;ORGANOCLICK;47.6;95;55.3;96;52.1;126;51.7;105;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORGC.ST;5.4285
SAGA-D.ST;SAGAX LINE D;38.5;100;58.6;113;54.5;110;50.5;107;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAGA-D.ST;5.4035
ACARIX.ST;ACARIX;61.5;109;54.5;88;54.5;88;56.8;95;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACARIX.ST;5.396
XACT.ST;XACT OMX30 ETF;46.2;104;45.5;97;58;124;49.9;108;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT.ST;5.3892
SECT-B.ST;SECTRA B;35;105;38.2;120;44.4;187;39.2;137;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SECT-B.ST;5.3704
SWED-A.ST;SWEDBANK A;64.7;108;40.5;92;48.1;115;51.1;105;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SWED-A.ST;5.3655
IMPC.ST;IMPACT COATINGS;47.6;66;45.5;63;54;199;49;109;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IMPC.ST;5.341
VRG-B.ST;VENUE B;42.1;99;41.9;98;47.7;167;43.9;121;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VRG-B.ST;5.3119
IS.ST;IMAGE SYSTEMS;35.7;91;46.4;102;51.6;165;44.6;119;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IS.ST;5.3074
WISE.ST;WISE GROUP;43.8;113;40.5;112;45.1;144;43.1;123;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=WISE.ST;5.3013
GTAB B;GLYCOREX TRANSPLANTATION B;66.7;123;41.2;82;41.5;114;49.8;106;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GTAB B;5.2788
NAXS.ST;NAXS;71.4;102;50;92;48.1;87;56.5;93;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NAXS.ST;5.2545
BRG-B.ST;BERGS TIMBER B;47.4;100;51.4;111;46.7;113;48.5;108;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRG-B.ST;5.238
CBTT-B.ST;CHRISTIAN BERNER TECH TRADE;52.9;101;51.5;108;46.4;104;50.3;104;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CBTT-B.ST;5.2312
AM1S.ST;AHLSTROM-MUNKSJO;33.3;90;38.3;101;50.6;194;40.7;128;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AM1S.ST;5.2096
HEMF-PREF.ST;HEMFOSA FASTIGHETER PRF;53.8;96;55.2;103;42.6;109;50.5;102;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMF-PREF.ST;5.151
ASSA-B.ST;ASSA ABLOY B;43.5;98;43.2;106;54.5;123;47.1;109;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ASSA-B.ST;5.1339
NWG.ST;NORDIC WATERPROOFING HOLDING;42.9;106;50;114;47.6;109;46.8;109;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NWG.ST;5.1012
AKEL-PREF.ST;AKELIUS RESIDENTIAL PREF PRF;63.2;102;41;99;43.3;109;49.2;103;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AKEL-PREF.ST;5.0676
XACT-NORDEN-30.ST;XACT NORDEN 30 ETF;50;98;45;104;51.2;110;48.7;104;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-NORDEN-30.ST;5.0648
GPG-PREF.ST;GENOVA PROPERTY GROUP PRF;55.6;103;51.2;103;41.2;98;49.3;101;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GPG-PREF.ST;4.9793
SECI.ST;SECITS HOLDING;52.6;86;56.5;93;56.5;93;55.2;90;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SECI.ST;4.968
RNBS.ST;RETAIL AND BRANDS;42.9;95;42.5;87;50;150;45.1;110;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RNBS.ST;4.961
SAPIAB.ST;SALTANGEN;47.4;109;44.2;108;42.3;116;44.6;111;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAPIAB.ST;4.9506
MEKO.ST;MEKONOMEN;50;113;34.4;100;47;126;43.8;113;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MEKO.ST;4.9494
CCOR-B.ST;CONCORDIA MARITIME B;63.6;112;42.9;90;45;94;50.5;98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CCOR-B.ST;4.949
AXIS.ST;AXIS;40;99;48.4;106;48.4;119;45.6;108;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AXIS.ST;4.9248
BRE2.ST;BREDBAND2 I SKANDINAVIEN;36.8;116;37;114;42.1;151;38.6;127;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRE2.ST;4.9022
TASTE.ST;MYTASTE;54.5;95;48;76;44.1;129;48.9;100;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TASTE.ST;4.89
TFBANK.ST;TF BANK;45;96;50;96;52.1;106;49;99;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TFBANK.ST;4.851
ALM-PREF.ST;ALM PRF;55.6;99;52.4;102;38.8;96;48.9;99;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALM-PREF.ST;4.8411
BRIOX.NGM;BRIOX;42.9;96;48.4;128;38.8;107;43.4;110;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIOX.NGM;4.774
KAPIAB.ST;KALLEBACK PROPERTY INVEST;44.4;98;46.9;105;46.9;106;46.1;103;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KAPIAB.ST;4.7483
EDGE.ST;EDGEWARE;40;73;59.5;96;59.5;96;53;88;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EDGE.ST;4.664
SYSR.ST;SYSTEMAIR;55;100;46.7;97;40;97;47.2;98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SYSR.ST;4.6256
AMAST-PREF.ST;AMASTEN HOLDING PREF SHS;47.8;91;48.7;93;46.4;106;47.6;96;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AMAST-PREF.ST;4.5696
BIOS.ST;BIOSERVO TECHNOLOGIES;43.5;82;48;106;48;106;46.5;98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOS.ST;4.557
FNMA-PREF.ST;FNMA PREF PRF;33.3;96;33.3;104;44.7;166;37.1;122;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FNMA-PREF.ST;4.5262
POLYG.ST;POLYGIENE;52.4;96;41;84;45.9;111;46.4;97;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=POLYG.ST;4.5008
CAPIO.ST;CAPIO;33.3;96;47.5;101;50;112;43.6;103;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAPIO.ST;4.4908
SWEC-A.ST;SWECO A;27.8;88;35.3;84;50;187;37.7;119;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SWEC-A.ST;4.4863
PREV-B.ST;PREVAS B;41.2;117;31.4;100;41;139;37.9;118;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PREV-B.ST;4.4722
TEONE.ST;TARGETEVERYONE;50;109;37.5;66;49.2;120;45.6;98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TEONE.ST;4.4688
SVED-B.ST;SVEDBERGS I DALSTORP B;44.4;100;39.5;91;46.1;116;43.3;102;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SVED-B.ST;4.4166
B3IT.ST;B3IT MANAGEMENT;40;94;42.9;103;43.5;112;42.1;103;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=B3IT.ST;4.3363
MULT.NGM;MULTIDOCKER CARGO HANDLING;52.4;77;54.5;82;54.5;82;53.8;80;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MULT.NGM;4.304
INDEX.ST;INDEX PHARMACEUTICALS HOLDING;30;93;45.2;106;50;110;41.7;103;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INDEX.ST;4.2951
BILL.ST;BILLERUD KORSNAS;28.6;88;41.7;91;59;120;43.1;99;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BILL.ST;4.2669
FPAR-PREF.ST;FASTPARTNER PRF;50;101;33.3;99;42.4;104;41.9;101;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FPAR-PREF.ST;4.2319
KARE.ST;KARESSA PHARMA;57.1;87;53.3;83;50;62;53.5;77;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KARE.ST;4.1195
WESC.ST;WESC;47.4;123;45.2;107;39;47;43.9;92;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=WESC.ST;4.0388
SPRINT.ST;SPRINT BIOSCIENCE;26.3;66;40.7;93;48.3;151;38.4;103;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SPRINT.ST;3.9552
ESSITY-A.ST;ESSITY;40;98;40;98;40;98;40;98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ESSITY-A.ST;3.92
VOLO-PREF.ST;VOLATI PRF;33.3;98;40;105;37.5;113;36.9;105;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VOLO-PREF.ST;3.8745
FIRE.ST;FIREFLY;35.3;93;37.5;97;41.2;115;38;101;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FIRE.ST;3.838
BRIN-B.ST;BRINOVA FASTIGHETER;37.5;93;37.5;94;42.3;102;39.1;96;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRIN-B.ST;3.7536
AIK-B.NGM;AIK FOTBALL B;23.5;95;42.4;98;40.3;122;35.4;105;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AIK-B.NGM;3.717
MTRS.ST;MUNTERS GROUP;45;81;45.5;83;45.5;83;45.3;82;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MTRS.ST;3.7146
MAXF.ST;MAXFASTIGHETER I SVERIGE;36.4;95;41.4;92;41.4;92;39.7;93;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MAXF.ST;3.6921
ELOS-B.ST;ELOS MEDTECH;35;83;40;80;50;101;41.7;88;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELOS-B.ST;3.6696
MOMENT.ST;MOMENT GROUP;50;107;27.3;83;40.3;90;39.2;93;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MOMENT.ST;3.6456
VICP-PREF.ST;VICTORIA PARK PRF;33.3;92;36.1;97;40;108;36.5;99;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VICP-PREF.ST;3.6135
NHCBHFFS.ST;NORTHERN HORIZON CAPITAL ETF;46.2;99;33.3;95;33.3;95;37.6;96;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NHCBHFFS.ST;3.6096
SCST.ST;SCANDI STANDARD;28.6;99;34.1;86;44.9;110;35.9;98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SCST.ST;3.5182
ZZ-B.ST;ZINZINO AB;33.3;75;38.5;85;45.3;109;39;89;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ZZ-B.ST;3.471
TOBIN-PREF.ST;TOBIN PROPERTIES PRF;47.4;108;37.5;101;35.1;43;40;84;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TOBIN-PREF.ST;3.36
ELEC.ST;ELECTRA GRUPPEN;31.6;101;34.2;96;35.6;98;33.8;98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELEC.ST;3.3124
ADDV-B.ST;ADDVISE GROUP;35.3;84;33.3;85;46.8;82;38.5;83;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADDV-B.ST;3.1955
DELARK.ST;DELARKA HOLDING;36.4;90;37.2;85;36.5;81;36.7;85;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DELARK.ST;3.1195
OBDU-PREF-B.NGM;OBDUCAT PRF;50;64;42.9;71;42.9;71;45.3;68;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OBDU-PREF-B.NGM;3.0804
POOL-B.ST;POOLIA B;44.4;83;34.1;71;39.3;77;39.3;77;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=POOL-B.ST;3.0261
TGATE.NGM;THREE GATES;33.3;56;44.1;70;47.6;89;41.7;71;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TGATE.NGM;2.9607
MULQ.ST;MULTIQ INTERNATIONAL;36.8;96;29.7;77;35.1;68;33.9;80;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MULQ.ST;2.712
HEBA-B.ST;HEBA FASTIGHETS B;27.8;92;26.5;85;36.4;89;30.2;88;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEBA-B.ST;2.6576
QUART-PREF.ST;QUARTIERS PROPERTIES PRF;25;96;23.5;96;31.8;97;26.8;96;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=QUART-PREF.ST;2.5728
K2A-PREF.ST;K2A KNAUST & AND ANDERSSON FASTIGHET;23.8;95;20.5;93;34.3;106;26.2;98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=K2A-PREF.ST;2.5676
PEGRO-PREF.ST;PEGROCO INVEST PRF;26.3;86;29;91;32.3;86;29.2;87;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PEGRO-PREF.ST;2.5404
CLDRE-B.NGM;CLOUDREPUBLIC;55;52;52.2;44;52.2;44;53.1;46;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLDRE-B.NGM;2.4426
MAXK.ST;MAXKOMPETENS;38.9;82;26.9;73;26.9;73;30.9;76;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MAXK.ST;2.3484
SDIP-PREF.ST;SDIPTECH PRF;10.5;89;31.2;101;31.2;96;24.3;95;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SDIP-PREF.ST;2.3085
HAV-B.ST;HAVSFRUN INVESTMENT B;30.8;91;21.2;78;27.7;75;26.6;81;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HAV-B.ST;2.1546
FOOT-PREF.ST;FOOTWAY GROUP PRF;25;90;23.1;89;23.1;89;23.7;89;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FOOT-PREF.ST;2.1093
HOGK-PREF-A.ST;AKTIEBOLAGET HOGKULLEN PRF;0;99;30.8;99;33.3;98;21.4;98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOGK-PREF-A.ST;2.0972
OP-PREFB.ST;OSCAR PROPERTIES HOLDING PRF;22.7;94;25;94;20.5;87;22.7;91;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OP-PREFB.ST;2.0657
EFFP.ST;EFFNETPLATTFORMEN;22.7;69;31.6;70;31.6;70;28.6;69;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EFFP.ST;1.9734
SARSYS.NGM;SCANDINAVIAN AIRPORT AND ROAD SYSTEM;21.1;56;27.6;41;27.6;41;25.4;46;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SARSYS.NGM;1.1684
66669.ST;ALLTELE;;;;;;;;;;0
A1M-TO.ST;A1M PHARMA SUBSCR OPT;;;;;;;;;;0
ALELIO-TO-1.ST;ALELION ENERGY SYSTEMS SUBSCR OPT;;;;;;;;;;0
AVEG-B.ST;AVEGA GROUP ser. B;;;;;;;;;;0
BALD-PREF.ST;FASTIGHETS AB BALDER PRF;;;;;;;;;;0
BWL.ST;BRINGWELL;;;;;;;;;;0
CLEANT-A.ST;CLEANTECH INVEST;;;;;;;;;;0
CORE.ST;COREM PROPERTY GROUP;;;;;;;;;;0
FRIM.ST;ROBERT FRIMAN INTERNATIONAL;;;;;;;;;;0
GAPW-TO-1B.ST;GAPWAVES SUBSCR OPT;;;;;;;;;;0
ICTA-B.ST;INTELLECTA B;;;;;;;;;;0
IJ.ST;INTRUM JUSTITIA;;;;;;;;;;0
LIFE B;LIFEASSAYS B;;;;;;;;;;0
MAHA-A-TO-1.ST;MAHA ENERGY SUBSCR OPT;;;;;;;;;;0
MCNH.NGM;MEDICA CLINICAL NORTH;;;;;;;;;;0
MELK.ST;MELKER SCHORLING;;;;;;;;;;0
MIND.ST;MINDMANCER;;;;;;;;;;0
MSC-B.ST;MSC GROUP;;;;;;;;;;0
NOMI.ST;NORDIC MINES;;;;;;;;;;0
SAS-PREF.ST;SAS PRF;;;;;;;;;;0
SEAM.ST;SEAMLESS DISTRIBUTION B;;;;;;;;;;0
ULED.NGM;UNI-LIGHT LED;34.6;-13;37.8;-11;36.2;-10;36.2;-11;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ULED.NGM;-0.3982
